Unnamed: 0,DEN,KAN
First Downs,16,17
Rush-Yds-TDs,55-244-1,24-134-0
Cmp-Att-Yd-TD-INT,2-8-69-1-0,18-34-140-1-0
Sacked-Yards,0-0,4-16
Net Pass Yards,69,124
Total Yards,313,258
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,8-65,4-40
Third Down Conv.,5-14,2-11
Fourth Down Conv.,0-0,0-2
Time of Possession,33:38,26:22
