Unnamed: 0,MIN,DET
First Downs,20,19
Rush-Yds-TDs,32-103-1,23-105-1
Cmp-Att-Yd-TD-INT,17-23-256-2-0,17-35-126-0-1
Sacked-Yards,2-14,1-8
Net Pass Yards,242,118
Total Yards,345,223
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,11-94,3-30
Third Down Conv.,3-11,5-13
Fourth Down Conv.,0-0,0-0
Time of Possession,30:41,29:19
