Quarter,Time,Tm,Detail,CIN,IND
1.0,11:17,Bengals,Giovani Bernard 2 yard rush (Randy Bullock kick),7,0
,3:18,Bengals,Joe Burrow 2 yard rush (Randy Bullock kick),14,0
2.0,14:56,Bengals,Joe Mixon 7 yard rush (Randy Bullock kick),21,0
,12:18,Colts,Trey Burton 1 yard rush (Rodrigo Blankenship kick),21,7
,8:04,Bengals,Randy Bullock 47 yard field goal,24,7
,4:38,Colts,Trey Burton 10 yard pass from Philip Rivers (Rodrigo Blankenship kick),24,14
,0:15,Colts,Zach Pascal 17 yard pass from Philip Rivers (Rodrigo Blankenship kick),24,21
3.0,3:32,Bengals,Randy Bullock 55 yard field goal,27,21
4.0,14:55,Colts,Jack Doyle 14 yard pass from Philip Rivers (Rodrigo Blankenship kick),27,28
,4:03,Colts,Rodrigo Blankenship 40 yard field goal,27,31
