Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Joe Mixon,CIN,18,54,1,2,23,1.3,31,1.7,1,18.0
Giovani Bernard,CIN,8,15,1,2,4,0.5,11,1.4,0,
Joe Burrow,CIN,3,2,1,1,1,0.3,1,0.3,0,
Tyler Boyd,CIN,1,25,0,1,25,25.0,0,0.0,0,
Tee Higgins,CIN,1,2,0,0,0,0.0,2,2.0,0,
Samaje Perine,CIN,1,0,0,,0,0.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Jonathan Taylor,IND,12,60,0,4,42,3.5,18,1.5,0,
Trey Burton,IND,1,1,1,1,1,1.0,0,0.0,0,
Philip Rivers,IND,1,-1,0,0,-1,-1.0,0,0.0,0,
Jordan Wilkins,IND,1,-1,0,,-1,-1.0,0,0.0,0,
