Unnamed: 0,CIN,IND
First Downs,22,23
Rush-Yds-TDs,32-98-3,15-59-1
Cmp-Att-Yd-TD-INT,25-39-313-0-1,29-44-371-3-1
Sacked-Yards,2-13,1-0
Net Pass Yards,300,371
Total Yards,398,430
Fumbles-Lost,1-0,1-1
Turnovers,1,2
Penalties-Yards,6-20,6-55
Third Down Conv.,8-17,7-11
Fourth Down Conv.,2-2,0-0
Time of Possession,34:28,25:32
