Unnamed: 0,MIN,DET
First Downs,17,18
Rush-Yds-TDs,16-82-1,19-94-0
Cmp-Att-Yd-TD-INT,31-37-224-0-1,23-40-232-1-0
Sacked-Yards,0-0,2-18
Net Pass Yards,224,214
Total Yards,306,308
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,5-40,4-16
Third Down Conv.,2-10,6-14
Fourth Down Conv.,0-1,0-2
Time of Possession,31:31,28:29
