Quarter,Time,Down,ToGo,Location,LAR,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,DET 35,0,0,"Sam Martin kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LAR 25,0,0,Todd Gurley right tackle for 2 yards (tackle by Nevin Lawson and Jarrad Davis),0.610,0.330
1,14:27,2,8,LAR 27,0,0,Jared Goff pass complete short left to Brandin Cooks for 15 yards (tackle by Mike Ford),0.330,1.730
1,13:48,1,10,LAR 42,0,0,Jared Goff pass incomplete deep right intended for Brandin Cooks,1.730,1.190
1,13:42,2,10,LAR 42,0,0,"Jared Goff pass incomplete short middle intended for Robert Woods. Penalty on Darius Slay: Defensive Pass Interference, 4 yards (no play)",1.190,1.990
1,13:37,1,10,LAR 46,0,0,Todd Gurley left tackle for -1 yards (tackle by Christian Jones and Damon Harrison),1.990,1.320
1,12:59,2,11,LAR 45,0,0,Jared Goff pass complete short middle to Brandin Cooks for 8 yards (tackle by Quandre Diggs),1.320,1.690
1,12:14,3,3,DET 47,0,0,Jared Goff pass incomplete deep right intended for Gerald Everett,1.690,0.130
1,12:08,4,3,DET 47,0,0,Johnny Hekker punts 43 yards downed by Dominique Hatfield,0.130,0.380
1,11:56,1,10,DET 4,0,0,LeGarrette Blount left tackle for 9 yards (tackle by John Johnson),-0.380,-0.120
1,11:19,2,1,DET 13,0,0,LeGarrette Blount left tackle for 2 yards (tackle by Lamarcus Joyner),-0.120,-0.220
1,10:34,1,10,DET 15,0,0,Matthew Stafford pass incomplete short middle intended for LeGarrette Blount,-0.220,-0.710
1,10:30,2,10,DET 15,0,0,Matthew Stafford pass complete short middle to Levine Toilolo for 10 yards (tackle by Ndamukong Suh),-0.710,0.610
1,9:41,1,10,DET 25,0,0,LeGarrette Blount up the middle for no gain (tackle by Ndamukong Suh),0.610,0.060
1,8:57,2,10,DET 25,0,0,LeGarrette Blount left tackle for -1 yards (tackle by Aaron Donald),0.060,-0.760
1,8:16,3,11,DET 24,0,0,Matthew Stafford pass complete short left to Bruce Ellington for 9 yards (tackle by Marqui Christian). Penalty on Frank Ragnow: Offensive Holding (Declined),-0.760,-1.180
1,8:08,4,2,DET 33,0,0,"Sam Martin punts 39 yards, returned by Jojo Natson for 2 yards (tackle by DeShawn Shead). Penalty on Sam Shields: Illegal Block Above the Waist, 10 yards",-1.180,-0.280
1,7:57,1,10,LAR 20,0,0,Todd Gurley left tackle for 1 yard (tackle by A'Shawn Robinson and Jarrad Davis),0.280,-0.130
1,7:15,2,9,LAR 21,0,0,Jared Goff pass complete deep right to Robert Woods for 19 yards (tackle by Darius Slay),-0.130,1.600
1,6:31,1,10,LAR 40,0,0,Jared Goff pass complete short left to Josh Reynolds for 14 yards,1.600,2.520
1,6:16,1,10,DET 46,0,0,Jared Goff pass incomplete deep left intended for Robert Woods,2.520,1.980
1,6:10,2,10,DET 46,0,0,Todd Gurley left tackle for 15 yards (tackle by Mike Ford),1.980,3.510
1,5:33,1,10,DET 31,0,0,Jared Goff pass complete short left to Todd Gurley for 19 yards (tackle by Mike Ford),3.510,4.780
1,4:53,,,,,,Timeout #1 by Los Angeles Rams,,
1,4:53,1,10,DET 12,0,0,Todd Gurley left tackle for 1 yard (tackle by A'Shawn Robinson),4.780,4.270
1,4:10,2,9,DET 11,0,0,Jared Goff pass complete short left to Josh Reynolds for 5 yards (tackle by Mike Ford),4.270,4.380
1,3:26,3,4,DET 6,0,0,Jared Goff pass incomplete short right intended for Josh Reynolds,4.380,3.000
1,3:20,4,4,DET 6,3,0,Greg Zuerlein 24 yard field goal good,3.000,3.000
1,3:17,,,LAR 35,3,0,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
1,3:17,1,10,DET 25,3,0,Theo Riddick left end for 11 yards (tackle by John Johnson and Lamarcus Joyner),0.610,1.330
1,2:32,1,10,DET 36,3,0,Matthew Stafford pass complete short middle to Kenny Golladay for 24 yards (tackle by Lamarcus Joyner),1.330,2.920
