Quarter,Time,Tm,Detail,LAR,DET
1.0,3:17,Rams,Greg Zuerlein 24 yard field goal,3,0
2.0,12:24,Lions,Matt Prater 28 yard field goal,3,3
,2:28,Rams,Robert Woods 8 yard pass from Jared Goff (Greg Zuerlein kick),10,3
,0:43,Rams,Greg Zuerlein 47 yard field goal,13,3
3.0,7:56,Lions,Matt Prater 29 yard field goal,13,6
,5:46,Rams,Greg Zuerlein 48 yard field goal,16,6
,3:02,Lions,Taylor Decker 11 yard pass from Matthew Stafford (Matt Prater kick),16,13
4.0,6:53,Rams,Todd Gurley 13 yard rush (Greg Zuerlein kick),23,13
,2:54,Lions,Matt Prater 35 yard field goal,23,16
,1:54,Rams,Todd Gurley 2 yard rush (Greg Zuerlein kick),30,16
