Unnamed: 0,LAR,DET
First Downs,24,23
Rush-Yds-TDs,29-149-2,26-102-0
Cmp-Att-Yd-TD-INT,17-33-207-1-1,20-34-245-1-1
Sacked-Yards,2-12,4-37
Net Pass Yards,195,208
Total Yards,344,310
Fumbles-Lost,1-1,1-1
Turnovers,2,2
Penalties-Yards,7-105,8-54
Third Down Conv.,5-11,2-12
Fourth Down Conv.,0-0,0-0
Time of Possession,28:16,31:44
