Unnamed: 0,NYG,MIN
First Downs,18,22
Rush-Yds-TDs,18-78-1,33-104-2
Cmp-Att-Yd-TD-INT,25-45-261-0-1,26-36-262-1-0
Sacked-Yards,0-0,0-0
Net Pass Yards,261,262
Total Yards,339,366
Fumbles-Lost,1-1,0-0
Turnovers,2,0
Penalties-Yards,8-69,6-37
Third Down Conv.,2-12,8-16
Fourth Down Conv.,0-2,0-0
Time of Possession,24:28,35:32
