Unnamed: 0,GNB,CHI
First Downs,20,23
Rush-Yds-TDs,25-187-2,28-181-2
Cmp-Att-Yd-TD-INT,22-30-193-3-1,25-44-201-0-2
Sacked-Yards,0-0,5-21
Net Pass Yards,193,180
Total Yards,380,361
Fumbles-Lost,0-0,0-0
Turnovers,1,2
Penalties-Yards,4-38,6-62
Third Down Conv.,5-11,5-15
Fourth Down Conv.,0-1,1-1
Time of Possession,27:31,32:29
