Unnamed: 0,TAM,ATL
First Downs,20,19
Rush-Yds-TDs,28-90-0,22-52-0
Cmp-Att-Yd-TD-INT,23-32-281-4-1,27-39-334-2-0
Sacked-Yards,0-0,3-12
Net Pass Yards,281,322
Total Yards,371,374
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,6-48,7-74
Third Down Conv.,3-10,3-13
Fourth Down Conv.,0-0,1-2
Time of Possession,27:37,32:23
