Quarter,Time,Tm,Detail,LAC,PIT
1.0,9:20,Steelers,James Conner 1 yard rush (Chris Boswell kick),0,7
,4:41,Steelers,James Conner 1 yard rush (Chris Boswell kick failed),0,13
,1:04,Chargers,Travis Benjamin 46 yard pass from Philip Rivers (Michael Badgley kick),7,13
2.0,2:40,Steelers,Chris Boswell 48 yard field goal,7,16
,0:17,Steelers,Antonio Brown 28 yard pass from Ben Roethlisberger (Chris Boswell kick),7,23
3.0,1:43,Chargers,Keenan Allen 10 yard pass from Philip Rivers (Antonio Gates pass from Philip Rivers),15,23
4.0,12:52,Chargers,Desmond King 73 yard punt return (Keenan Allen pass from Philip Rivers),23,23
,8:09,Chargers,Justin Jackson 18 yard rush (Michael Badgley kick),30,23
,4:10,Steelers,Jaylen Samuels 10 yard pass from Ben Roethlisberger (Chris Boswell kick),30,30
,0:00,Chargers,Michael Badgley 29 yard field goal,33,30
