Unnamed: 0,LAC,PIT
First Downs,22,23
Rush-Yds-TDs,22-85-1,17-65-2
Cmp-Att-Yd-TD-INT,26-36-299-2-0,29-45-281-2-1
Sacked-Yards,2-13,1-10
Net Pass Yards,286,271
Total Yards,371,336
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,5-80,7-59
Third Down Conv.,6-11,3-10
Fourth Down Conv.,0-0,1-1
Time of Possession,31:12,28:48
