Quarter,Time,Down,ToGo,Location,LAC,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,PIT 35,0,0,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LAC 25,0,0,Philip Rivers pass complete short left to Keenan Allen for 14 yards (tackle by Bud Dupree),0.610,1.530
1,14:23,1,10,LAC 39,0,0,Austin Ekeler left guard for no gain (tackle by Vince Williams),1.530,0.990
1,13:41,2,10,LAC 39,0,0,Philip Rivers pass complete short middle to Keenan Allen for 18 yards (tackle by Sean Davis). Penalty on T.J. Watt: Defensive Offside (Declined),0.990,2.720
1,13:21,1,10,PIT 43,0,0,Travis Benjamin right tackle for 1 yard (tackle by L.J. Fort),2.720,2.310
1,12:42,2,9,PIT 42,0,0,Philip Rivers pass complete short right to Travis Benjamin for -2 yards (tackle by Coty Sensabaugh),2.310,1.360
1,12:09,3,11,PIT 44,0,0,Philip Rivers pass complete short left to Keenan Allen for 10 yards (tackle by L.J. Fort),1.360,1.100
1,11:24,4,1,PIT 34,0,0,Michael Badgley 52 yard field goal no good,1.100,-1.730
1,11:19,1,10,PIT 42,0,0,James Conner left guard for 2 yards (tackle by Joey Bosa and Darius Philon),1.730,1.460
1,10:43,2,8,PIT 44,0,0,Ben Roethlisberger pass complete short left to Antonio Brown for 9 yards,1.460,2.460
1,10:10,1,10,LAC 47,0,0,Ben Roethlisberger pass complete deep left to Antonio Brown for 46 yards (tackle by Casey Hayward),2.460,6.970
1,9:25,1,1,LAC 1,0,6,"James Conner up the middle for 1 yard, touchdown",6.970,7.000
1,9:20,,,LAC 15,0,7,Chris Boswell kicks extra point good,0.000,0.000
1,9:20,,,PIT 35,0,7,"Chris Boswell kicks off 65 yards, returned by Desmond King for no gain (tackle by Terrell Edmunds and Tyler Matakevich)",0.000,0.340
1,9:14,1,10,LAC 21,0,7,Austin Ekeler right guard for no gain (tackle by Terrell Edmunds),0.340,-0.200
1,8:39,2,10,LAC 21,0,7,Philip Rivers sacked by Terrell Edmunds for -9 yards,-0.200,-2.470
1,7:53,3,19,LAC 12,0,7,Philip Rivers pass incomplete deep middle intended for Keenan Allen (defended by Mike Hilton),-2.470,-2.490
1,7:47,4,19,LAC 12,0,7,"Donnie Jones punts 36 yards, fair catch by Ryan Switzer at LAC-48",-2.490,-2.390
1,7:42,1,10,LAC 48,0,7,Ben Roethlisberger pass complete short left to James Conner for 4 yards (tackle by Damion Square),2.390,2.390
1,6:59,2,6,LAC 44,0,7,Ben Roethlisberger pass complete short left to Antonio Brown for 12 yards (tackle by Adrian Phillips),2.390,3.450
1,6:23,1,10,LAC 32,0,7,Ben Roethlisberger pass incomplete deep left intended for Justin Hunter,3.450,2.900
1,6:16,2,10,LAC 32,0,7,James Conner up the middle for 3 yards (tackle by Joey Bosa),2.900,2.610
1,5:32,3,7,LAC 29,0,7,"Ben Roethlisberger pass incomplete deep left intended for Ryan Switzer. Penalty on Michael Davis: Defensive Pass Interference, 28 yards (no play)",2.610,6.970
1,5:24,1,1,LAC 1,0,7,James Conner left guard for no gain (tackle by Desmond King and Derwin James),6.970,5.910
1,4:44,2,1,LAC 1,0,13,"James Conner up the middle for 1 yard, touchdown",5.910,7.000
1,4:41,,,LAC 15,0,13,Chris Boswell kicks extra point no good wide left,0.000,-1.000
1,4:41,,,PIT 35,0,13,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
1,4:41,1,10,LAC 25,0,13,Philip Rivers pass complete short left to Keenan Allen for 4 yards (tackle by Javon Hargrave),0.610,0.600
1,3:59,2,6,LAC 29,0,13,Austin Ekeler up the middle for 1 yard (tackle by L.J. Fort and Terrell Edmunds),0.600,0.040
1,3:14,3,5,LAC 30,0,13,Philip Rivers pass complete short left to Keenan Allen for 9 yards (tackle by L.J. Fort),0.040,1.530
1,2:41,1,10,LAC 39,0,13,Austin Ekeler left tackle for 1 yard (tackle by Cameron Heyward and Vince Williams),1.530,1.120
