Unnamed: 0,SFO,ARI
First Downs,24,22
Rush-Yds-TDs,26-144-1,30-234-2
Cmp-Att-Yd-TD-INT,18-28-262-4-0,26-39-211-1-2
Sacked-Yards,0-0,3-9
Net Pass Yards,262,202
Total Yards,406,436
Fumbles-Lost,0-0,5-0
Turnovers,0,2
Penalties-Yards,1-5,4-28
Third Down Conv.,4-7,7-16
Fourth Down Conv.,0-0,3-4
Time of Possession,25:49,34:11
