Unnamed: 0,HOU,CLE
First Downs,29,24
Rush-Yds-TDs,54-213-0,23-65-0
Cmp-Att-Yd-TD-INT,20-30-211-2-1,20-50-330-1-1
Sacked-Yards,0-0,3-20
Net Pass Yards,211,310
Total Yards,424,375
Fumbles-Lost,1-0,3-1
Turnovers,1,2
Penalties-Yards,5-55,8-67
Third Down Conv.,7-18,3-15
Fourth Down Conv.,1-1,0-2
Time of Possession,33:53,26:07
