Quarter,Time,Tm,Detail,HOU,CLE
1.0,7:09,Texans,J.J. Watt 2 yard pass from Ryan Mallett (Randy Bullock kick),7,0
2.0,8:58,Browns,Andrew Hawkins 32 yard pass from Brian Hoyer (Billy Cundiff kick),7,7
,0:23,Texans,Garrett Graham 20 yard pass from Ryan Mallett (Randy Bullock kick),14,7
3.0,5:16,Texans,Randy Bullock 46 yard field goal,17,7
4.0,9:47,Texans,Randy Bullock 37 yard field goal,20,7
,2:47,Texans,Randy Bullock 50 yard field goal,23,7
