Unnamed: 0,SDG,KAN
First Downs,25,26
Rush-Yds-TDs,32-155-2,19-83-2
Cmp-Att-Yd-TD-INT,25-36-243-1-0,34-48-363-2-1
Sacked-Yards,1-10,3-33
Net Pass Yards,233,330
Total Yards,388,413
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,5-30,6-46
Third Down Conv.,7-15,5-14
Fourth Down Conv.,0-0,2-2
Time of Possession,34:01,31:06
