Quarter,Time,Tm,Detail,SDG,KAN
1,11:51,Chiefs,Cairo Santos 47 yard field goal,0,3
,8:27,Chargers,Melvin Gordon 1 yard rush (Josh Lambo kick),7,3
2,14:06,Chargers,Melvin Gordon 6 yard rush (Josh Lambo kick),14,3
,7:54,Chargers,Danny Woodhead 4 yard pass from Philip Rivers (Josh Lambo kick),21,3
3,6:02,Chargers,Josh Lambo 29 yard field goal,24,3
,2:47,Chiefs,Tyreek Hill 9 yard pass from Alex Smith (Cairo Santos kick),24,10
4,13:24,Chargers,Josh Lambo 28 yard field goal,27,10
,9:18,Chiefs,Jeremy Maclin 19 yard pass from Alex Smith (Cairo Santos kick),27,17
,3:09,Chiefs,Cairo Santos 33 yard field goal,27,20
,1:03,Chiefs,Spencer Ware 5 yard rush (Cairo Santos kick),27,27
OT,9:53,Chiefs,Alex Smith 2 yard rush,27,33
