Quarter,Time,Down,ToGo,Location,SDG,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,SDG 35,0,0,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,KAN 25,0,0,Alex Smith pass complete short middle to Jeremy Maclin for 5 yards (tackle by Jahleel Addae),0.610,0.740
1,14:23,2,5,KAN 30,0,0,Alex Smith pass complete short left to Jeremy Maclin for 7 yards (tackle by Jason Verrett),0.740,1.400
1,13:55,1,10,KAN 37,0,0,Alex Smith pass complete short right to Spencer Ware for 28 yards (tackle by Dwight Lowery),1.400,3.250
1,13:17,1,10,SDG 35,0,0,Spencer Ware middle for no gain (tackle by Corey Liuget),3.250,2.700
1,12:44,2,10,SDG 35,0,0,Spencer Ware right end for 6 yards (tackle by Manti Te'o),2.700,2.810
1,12:01,3,4,SDG 29,0,0,Alex Smith pass incomplete short left intended for Jeremy Maclin,2.810,1.560
1,11:55,4,4,SDG 29,0,3,Cairo Santos 47 yard field goal good,1.560,3.000
1,11:51,,,KAN 35,0,3,"Cairo Santos kicks off 65 yards, touchback",0.000,-0.610
1,11:51,1,10,SDG 25,0,3,Philip Rivers pass complete short middle to Keenan Allen for 14 yards (tackle by Justin March-Lillard),0.610,1.530
1,11:21,1,10,SDG 39,0,3,Melvin Gordon right guard for -2 yards (tackle by Allen Bailey),1.530,0.720
1,10:40,2,12,SDG 37,0,3,Danny Woodhead middle for 6 yards (tackle by Ron Parker),0.720,0.830
1,9:56,3,6,SDG 43,0,3,Philip Rivers pass complete short left to Tyrell Williams for 33 yards (tackle by Phillip Gaines),0.830,3.970
1,9:18,1,10,KAN 24,0,3,Melvin Gordon middle for 17 yards (tackle by Frank Zombo),3.970,0.000
1,8:35,,,,,,Timeout #1 by Los Angeles Chargers,0.000,-5.600
1,8:35,1,7,KAN 7,0,3,"Philip Rivers pass incomplete short middle intended for Keenan Allen. Penalty on Marcus Peters: Defensive Pass Interference, 6 yards (no play)",5.600,6.970
1,8:30,1,1,KAN 1,6,3,"Melvin Gordon right guard for 1 yard, touchdown",6.970,7.000
1,8:27,,,KAN 15,7,3,Josh Lambo kicks extra point good,0.000,0.000
1,8:27,,,SDG 35,7,3,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.610
1,8:27,1,10,KAN 25,7,3,Spencer Ware middle for 11 yards (tackle by Denzel Perryman),0.610,1.330
1,7:49,1,10,KAN 36,7,3,Spencer Ware left end for 1 yard (tackle by Manti Te'o),1.330,0.930
1,7:12,2,9,KAN 37,7,3,Alex Smith pass complete short middle to Chris Conley for 13 yards (tackle by Jahleel Addae and Casey Hayward),0.930,2.260
1,6:33,1,10,,7,3,Alex Smith pass incomplete,2.260,1.710
1,6:24,2,10,,7,3,Alex Smith pass incomplete short left intended for Albert Wilson,1.710,1.030
1,6:20,3,10,,7,3,"Alex Smith sacked by Corey Liuget for -4 yards. Alex Smith fumbles (forced by Corey Liuget), recovered by Darius Philon at KAN-49 (tackle by Alex Smith). Penalty on Jason Verrett: Defensive Holding (Offsetting), Penalty on Eric Fisher: Offensive Holding (Offsetting) (no play)",1.030,1.030
1,6:11,3,10,,7,3,"Penalty on Caraun Reid: Neutral Zone Infraction, 5 yards (no play)",1.030,1.690
1,6:11,3,5,SDG 45,7,3,Alex Smith pass incomplete short middle intended for Ross Travis (defended by Jatavis Brown),1.690,0.270
1,6:07,4,5,SDG 45,7,3,"Dustin Colquitt punts 45 yards, touchback",0.270,-0.280
1,5:57,1,10,SDG 20,7,3,Philip Rivers pass complete short left to Keenan Allen for 15 yards (tackle by Steven Nelson),0.280,1.270
1,5:17,1,10,SDG 35,7,3,Melvin Gordon left guard for 5 yards (tackle by Frank Zombo),1.270,1.400
1,4:34,2,5,SDG 40,7,3,Philip Rivers pass incomplete short left intended for Keenan Allen,1.400,0.700
1,4:29,3,5,SDG 40,7,3,Philip Rivers pass complete short right to Keenan Allen for 9 yards (tackle by Marcus Peters),0.700,2.190
1,3:49,1,10,SDG 49,7,3,Philip Rivers pass complete short left to Travis Benjamin for 8 yards (tackle by Frank Zombo),2.190,2.730
1,3:11,2,2,KAN 43,7,3,Danny Woodhead middle for 3 yards (tackle by Allen Bailey),2.730,2.920
1,2:32,1,10,KAN 40,7,3,Melvin Gordon middle for 5 yards (tackle by Steven Nelson),2.920,3.050
1,1:48,2,5,KAN 35,7,3,Philip Rivers pass complete short left to Antonio Gates for 4 yards (tackle by Justin March-Lillard),3.050,0.000
1,1:00,,,,,,Timeout #2 by Los Angeles Chargers,0.000,-2.870
1,0:59,3,1,KAN 31,7,3,Melvin Gordon middle for 4 yards (tackle by Justin March-Lillard),2.870,3.780
