Quarter,Time,Tm,Detail,SEA,KAN
1.0,4:22,Chiefs,Jamaal Charles 1 yard rush (Cairo Santos kick),0,7
2.0,10:22,Seahawks,Doug Baldwin 7 yard pass from Russell Wilson (Stephen Hauschka kick),7,7
,8:09,Chiefs,Jamaal Charles 16 yard rush (Cairo Santos kick),7,14
,1:39,Seahawks,Stephen Hauschka 24 yard field goal,10,14
,0:00,Seahawks,Stephen Hauschka 27 yard field goal,13,14
3.0,7:39,Chiefs,Cairo Santos 23 yard field goal,13,17
,0:23,Seahawks,Tony Moeaki 1 yard pass from Russell Wilson (Stephen Hauschka kick),20,17
4.0,13:41,Chiefs,Knile Davis 4 yard rush (Cairo Santos kick),20,24
