Unnamed: 0,SEA,KAN
First Downs,25,20
Rush-Yds-TDs,37-204-0,30-190-3
Cmp-Att-Yd-TD-INT,20-32-178-2-0,11-16-108-0-0
Sacked-Yards,2-10,0-0
Net Pass Yards,168,108
Total Yards,372,298
Fumbles-Lost,1-0,3-2
Turnovers,0,2
Penalties-Yards,8-50,3-6
Third Down Conv.,5-12,2-6
Fourth Down Conv.,0-3,0-0
Time of Possession,35:57,24:03
