Unnamed: 0,PIT,GNB
First Downs,19,15
Rush-Yds-TDs,23-126-1,13-50-0
Cmp-Att-Yd-TD-INT,25-40-263-2-2,24-39-304-3-0
Sacked-Yards,1-2,3-16
Net Pass Yards,261,288
Total Yards,387,338
Fumbles-Lost,1-1,1-0
Turnovers,3,0
Penalties-Yards,6-55,7-67
Third Down Conv.,7-13,6-13
Fourth Down Conv.,0-1,0-0
Time of Possession,33:25,26:35
