Quarter,Time,Tm,Detail,PIT,GNB
1.0,3:44,Packers,Jordy Nelson 29 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
,3:20,Packers,Nick Collins 37 yard interception return (Mason Crosby kick),0,14
2.0,11:08,Steelers,Shaun Suisham 33 yard field goal,3,14
,2:24,Packers,Greg Jennings 21 yard pass from Aaron Rodgers (Mason Crosby kick),3,21
,0:39,Steelers,Hines Ward 8 yard pass from Ben Roethlisberger (Shaun Suisham kick),10,21
3.0,10:19,Steelers,Rashard Mendenhall 8 yard rush (Shaun Suisham kick),17,21
4.0,11:57,Packers,Greg Jennings 8 yard pass from Aaron Rodgers (Mason Crosby kick),17,28
,7:34,Steelers,Mike Wallace 25 yard pass from Ben Roethlisberger (Antwaan Randle El run),25,28
,2:07,Packers,Mason Crosby 23 yard field goal,25,31
