Quarter,Time,Down,ToGo,Location,PIT,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,GNB 30,0,0,"Mason Crosby kicks off 72 yards, returned by Antonio Brown for 38 yards (tackle by Mason Crosby)",0.000,1.330
1,14:54,1,10,PIT 36,0,0,Ben Roethlisberger pass complete short right to Hines Ward for 4 yards (tackle by Clay Matthews),1.330,1.330
1,14:12,2,6,PIT 40,0,0,Rashard Mendenhall left tackle for -4 yards (tackle by Frank Zombo),1.330,0.100
1,13:29,3,10,PIT 36,0,0,Ben Roethlisberger pass incomplete short right intended for Antonio Brown,0.100,-0.980
1,13:19,4,10,PIT 36,0,0,"Jeremy Kapinos punts 40 yards, muffed catch by Tramon Williams, recovered by Tramon Williams and returned for no gain",-0.980,-0.340
1,13:13,1,10,GNB 21,0,0,Aaron Rodgers pass incomplete short middle intended for Greg Jennings,0.340,-0.200
1,13:10,2,10,GNB 21,0,0,James Starks left tackle for 1 yard (tackle by LaMarr Woodley),-0.200,-0.760
1,12:31,3,9,GNB 22,0,0,Aaron Rodgers pass complete deep middle to Donald Driver for 24 yards (tackle by Anthony Madison). Penalty on James Farrior: Defensive Offside (Declined),-0.760,1.990
1,12:08,1,10,GNB 46,0,0,Aaron Rodgers pass incomplete short left intended for Jordy Nelson,1.990,1.450
1,12:03,2,10,GNB 46,0,0,James Starks right tackle for 3 yards (tackle by Brett Keisel),1.450,1.160
1,11:19,3,7,GNB 49,0,0,Aaron Rodgers pass incomplete deep right intended for Jordy Nelson,1.160,-0.130
1,11:13,4,7,GNB 49,0,0,"Tim Masthay punts 51 yards, touchback",-0.130,-0.280
1,11:05,1,10,PIT 20,0,0,Rashard Mendenhall right tackle for 15 yards (tackle by Desmond Bishop and Tramon Williams),0.280,1.270
1,10:24,1,10,PIT 35,0,0,Rashard Mendenhall right tackle for 9 yards (tackle by A.J. Hawk),1.270,1.940
1,9:43,2,1,PIT 44,0,0,"Penalty on David Johnson: False Start, 5 yards (no play)",1.940,1.260
1,9:16,2,6,PIT 39,0,0,Ben Roethlisberger pass complete short right to Mike Wallace for 5 yards (tackle by Tramon Williams),1.260,1.220
1,8:31,3,1,PIT 44,0,0,Ben Roethlisberger pass incomplete short middle intended for Heath Miller,1.220,-0.460
1,8:26,4,1,PIT 44,0,0,"Jeremy Kapinos punts 56 yards, touchback",-0.460,-0.280
1,8:17,1,10,GNB 20,0,0,Aaron Rodgers pass incomplete deep left intended for Greg Jennings,0.280,-0.270
1,8:11,2,10,GNB 20,0,0,Aaron Rodgers pass complete short middle to Jordy Nelson for 9 yards (tackle by Bryant McFadden),-0.270,0.230
1,7:24,3,1,GNB 29,0,0,James Starks right end for 8 yards (tackle by Ryan Clark),0.230,1.400
1,6:58,1,10,GNB 37,0,0,Aaron Rodgers pass complete short left to Jordy Nelson for 9 yards (tackle by Bryant McFadden),1.400,2.070
1,6:32,2,1,GNB 46,0,0,James Starks left tackle for 2 yards (tackle by James Farrior and Ryan Clark),2.070,2.130
1,5:53,,,,0,0,Timeout #1 by Green Bay Packers,0.000,2.130
1,5:53,1,10,GNB 48,0,0,Aaron Rodgers pass complete short middle to Brandon Jackson for 14 yards (tackle by William Gay),2.130,3.050
1,5:15,1,10,PIT 38,0,0,James Starks right guard for 7 yards (tackle by Brett Keisel and Ryan Clark),3.050,3.450
1,4:32,2,3,PIT 31,0,0,Aaron Rodgers pass complete short middle to Korey Hall for 2 yards (tackle by Lawrence Timmons),3.450,3.010
1,3:51,3,1,PIT 29,0,6,"Aaron Rodgers pass complete deep right to Jordy Nelson for 29 yards, touchdown",3.010,7.000
1,3:51,,,PIT 2,0,7,Mason Crosby kicks extra point good,0.000,0.000
1,3:44,,,GNB 30,0,7,"Mason Crosby kicks off 71 yards, returned by Antonio Brown for 15 yards (tackle by Korey Hall). Penalty on Ryan Mundy: Illegal Block Above the , 7 yards",0.000,-0.380
1,3:34,1,10,PIT 7,0,13,"Ben Roethlisberger pass incomplete deep left intended for Mike Wallace is intercepted by Nick Collins at PIT-37 and returned for 37 yards, touchdown. Penalty on Nick Collins: Unsportsmanlike Conduct, 15 yards",-0.380,-7.000
1,3:34,,,PIT 2,0,14,Mason Crosby kicks extra point good,0.000,0.000
1,3:20,,,GNB 15,0,14,"Mason Crosby kicks off 60 yards, returned by Mewelde Moore for 11 yards (tackle by Brett Swain)",0.000,1.330
1,3:13,1,10,PIT 36,0,14,Rashard Mendenhall left guard for 4 yards (tackle by Charles Woodson),1.330,1.330
1,2:36,2,6,PIT 40,0,14,Rashard Mendenhall right guard for 9 yards (tackle by Nick Collins),1.330,2.190
1,1:51,1,10,PIT 49,0,14,"Ben Roethlisberger pass complete short left to Emmanuel Sanders for 4 yards (tackle by Charlie Peprah). Penalty on Chris Kemoeatu: Illegal Block Above the , 10 yards",2.190,1.800
1,1:16,1,16,PIT 43,0,14,Ben Roethlisberger pass complete short middle to Rashard Mendenhall for 7 yards (tackle by Frank Zombo),1.800,1.780
1,0:33,2,9,GNB 50,0,14,Ben Roethlisberger pass incomplete deep left intended for Heath Miller,1.780,1.090
1,0:26,3,9,GNB 50,0,14,Ben Roethlisberger for 18 yards (tackle by Sam Shields),1.090,3.450
Quarter,Time,Down,ToGo,Location,PIT,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,GNB 32,0,14,Rashard Mendenhall right end for -3 yards (tackle by Charles Woodson and Charlie Peprah),3.450,2.500
2,14:18,2,13,GNB 35,0,14,Ben Roethlisberger pass incomplete short right intended for Emmanuel Sanders (defended by Tramon Williams),2.500,1.820
2,14:13,3,13,GNB 35,0,14,Ben Roethlisberger pass complete short right to Emmanuel Sanders for 13 yards (tackle by Tramon Williams),1.820,4.110
2,13:28,1,10,GNB 22,0,14,Ben Roethlisberger right end for 2 yards (tackle by Clay Matthews),4.110,3.830
2,12:40,2,8,GNB 20,0,14,Rashard Mendenhall right end for 1 yard (tackle by A.J. Hawk and Tramon Williams),3.830,3.260
2,11:53,3,7,GNB 19,0,14,Ben Roethlisberger pass complete short left to Mike Wallace for 4 yards (tackle by Nick Collins),3.260,2.540
2,11:53,4,3,GNB 15,3,14,Shaun Suisham 33 yard field goal good,2.540,3.000
2,11:08,,,PIT 30,3,14,"Shaun Suisham kicks off 73 yards, returned by Patrick Lee for 28 yards (tackle by Ryan Mundy)",0.000,0.610
2,11:01,1,10,GNB 25,3,14,Aaron Rodgers pass incomplete short right intended for Greg Jennings,0.610,0.060
2,10:58,2,10,GNB 25,3,14,Aaron Rodgers pass complete short right to James Jones for 5 yards (tackle by Ike Taylor),0.060,0.040
2,10:15,3,5,GNB 30,3,14,Aaron Rodgers pass complete short left to Donald Driver for 4 yards (tackle by James Farrior),0.040,-1.110
2,9:35,4,1,GNB 34,3,14,"Tim Masthay punts 46 yards, returned by Antonio Brown for 2 yards (tackle by Jarrett Bush)",-1.110,-0.410
2,9:28,1,10,PIT 22,3,14,"Rashard Mendenhall right end for 7 yards (tackle by Charles Woodson). Penalty on Heath Miller: Offensive Holding, 10 yards (no play)",0.410,-0.660
2,9:00,1,20,PIT 12,3,14,Ben Roethlisberger pass complete deep left to Mike Wallace for 16 yards (tackle by Charlie Peprah),-0.660,0.680
2,8:22,2,4,PIT 28,3,14,Mewelde Moore left tackle for 7 yards (tackle by Charlie Peprah),0.680,1.270
2,7:38,1,10,PIT 35,3,14,Ben Roethlisberger middle for 5 yards (tackle by Frank Zombo),1.270,1.400
2,6:49,2,5,PIT 40,3,14,Mewelde Moore left tackle for -1 yards (tackle by Desmond Bishop),1.400,0.560
2,6:02,3,6,PIT 39,3,14,Ben Roethlisberger pass complete short middle to Antwaan Randle El for 13 yards (tackle by Charles Woodson),0.560,2.390
2,5:20,1,10,GNB 48,3,14,Rashard Mendenhall right end for -1 yards (tackle by Desmond Bishop),2.390,1.710
2,4:35,,,,3,14,Timeout #1 by Pittsburgh Steelers,0.000,1.710
2,4:35,2,11,GNB 49,3,14,Ben Roethlisberger pass incomplete short middle intended for Mike Wallace is intercepted by Jarrett Bush at GNB-46 and returned for 1 yard,1.710,-2.060
2,4:28,1,10,GNB 47,3,14,Aaron Rodgers pass complete short left to Greg Jennings for 4 yards (tackle by Ike Taylor),2.060,2.060
2,3:43,2,6,PIT 49,3,14,Aaron Rodgers pass complete short left to Jordy Nelson for 16 yards (tackle by Bryant McFadden),2.060,3.380
2,3:10,1,10,PIT 33,3,14,James Starks right end for 12 yards (tackle by Ryan Clark),3.380,4.170
2,2:31,1,10,PIT 21,3,20,"Aaron Rodgers pass complete deep middle to Greg Jennings for 21 yards, touchdown",4.170,7.000
2,2:31,,,PIT 2,3,21,Mason Crosby kicks extra point good,0.000,0.000
2,2:24,,,GNB 30,3,21,"Mason Crosby kicks off 64 yards, returned by Antonio Brown for 17 yards (tackle by Brett Swain)",0.000,0.480
2,2:18,1,10,PIT 23,3,21,Ben Roethlisberger pass complete deep left to Antwaan Randle El for 37 yards (tackle by Sam Shields),0.480,2.920
2,2:00,1,10,GNB 40,3,21,Ben Roethlisberger pass incomplete deep left intended for Mike Wallace,2.920,2.370
2,1:54,,,,3,21,Timeout #2 by Green Bay Packers,0.000,2.370
2,1:54,2,10,GNB 40,3,21,Ben Roethlisberger pass incomplete intended for Hines Ward (defended by A.J. Hawk),2.370,1.680
2,1:49,3,10,GNB 40,3,21,Ben Roethlisberger pass complete short middle to Hines Ward for 14 yards (tackle by Jarrett Bush),1.680,3.840
2,1:37,,,,3,21,Timeout #2 by Pittsburgh Steelers,0.000,3.840
2,1:37,1,10,GNB 26,3,21,Ben Roethlisberger pass complete short left to Antonio Brown for 1 yard (tackle by Nick Collins),3.840,3.430
2,1:10,2,9,GNB 25,3,21,Ben Roethlisberger pass complete short middle to Hines Ward for 17 yards (tackle by Charlie Peprah),3.430,5.370
2,0:47,1,8,GNB 8,9,21,"Ben Roethlisberger pass complete short right to Hines Ward for 8 yards, touchdown",5.370,7.000
2,0:47,,,GNB 2,10,21,Shaun Suisham kicks extra point good,0.000,0.000
2,0:39,,,PIT 30,10,21,"Shaun Suisham kicks off 77 yards, touchback",0.000,0.280
2,0:39,1,10,GNB 20,10,21,James Starks middle for 4 yards (tackle by Ryan Clark),0.280,0.270
Quarter,Time,Down,ToGo,Location,PIT,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 30,10,21,"Shaun Suisham kicks off 75 yards, touchback",0.000,0.280
3,15:00,1,10,GNB 20,10,21,"James Starks right tackle for 2 yards (tackle by Troy Polamalu). Penalty on Donald Lee: Offensive Holding, 10 yards (no play)",0.280,-0.760
3,14:32,1,20,GNB 10,10,21,Aaron Rodgers pass complete short right to James Jones for 10 yards (tackle by Ike Taylor),-0.760,-0.270
3,13:57,2,10,GNB 20,10,21,"Penalty on Greg Jennings: False Start, 5 yards (no play)",-0.270,-1.070
3,13:31,2,15,GNB 15,10,21,Aaron Rodgers pass complete short left to Jordy Nelson for 10 yards (tackle by Ryan Clark),-1.070,-0.300
3,12:57,3,5,GNB 25,10,21,Aaron Rodgers pass incomplete short right intended for James Jones,-0.300,-1.700
3,12:51,4,5,GNB 25,10,21,"Tim Masthay punts 42 yards, returned by Antonio Brown for 2 yards (tackle by Tom Crabtree). Penalty on Tom Crabtree: Face Mask (15 Yards), 15 yards",-1.700,-2.260
3,12:39,1,10,,10,21,Rashard Mendenhall right end for 17 yards (tackle by Nick Collins),2.260,3.380
3,12:11,1,10,GNB 33,10,21,Isaac Redman middle for 3 yards (tackle by Ryan Pickett),3.380,3.240
3,11:30,2,7,GNB 30,10,21,Ben Roethlisberger for 6 yards (tackle by Charlie Peprah),3.240,3.340
3,10:57,3,1,GNB 24,10,21,Isaac Redman left end for 16 yards (tackle by Charlie Peprah),3.340,5.370
3,10:25,1,8,GNB 8,16,21,"Rashard Mendenhall right guard for 8 yards, touchdown",5.370,7.000
3,10:25,,,GNB 2,17,21,Shaun Suisham kicks extra point good,0.000,0.000
3,,,,PIT 30,17,21,"Shaun Suisham kicks off 71 yards, returned by Jordy Nelson for 19 yards (tackle by Ike Taylor)",,
3,10:13,1,10,GNB 18,17,21,James Starks left guard for 3 yards (tackle by Brett Keisel),0.040,0.010
3,9:36,2,7,GNB 21,17,21,Aaron Rodgers pass incomplete short middle intended for Jordy Nelson,0.010,-0.790
3,9:31,3,7,GNB 21,17,21,Aaron Rodgers sacked by James Harrison for -6 yards,-0.790,-2.440
3,9:12,4,13,GNB 15,17,21,"Tim Masthay punts 47 yards, returned by Antonio Brown for 2 yards (tackle by Jarrett Bush)",-2.440,-1.600
3,9:00,1,10,PIT 40,17,21,Rashard Mendenhall right guard for 1 yard (tackle by Ryan Pickett),1.600,1.190
