Quarter,Time,Tm,Detail,IND,CLE
1.0,0:40,Browns,Craig Robertson defensive fumble recovery in end zone (Billy Cundiff kick),0,7
2.0,5:57,Colts,Andrew Luck 11 yard rush (Adam Vinatieri kick),7,7
,1:14,Browns,Isaiah Crowell 9 yard rush (Billy Cundiff kick),7,14
3.0,10:21,Browns,Justin Gilbert 23 yard interception return (Billy Cundiff kick),7,21
,7:16,Colts,Adam Vinatieri 51 yard field goal,10,21
,4:01,Colts,T.Y. Hilton 42 yard pass from Andrew Luck (pass failed),16,21
4.0,14:50,Colts,Adam Vinatieri 33 yard field goal,19,21
,8:34,Browns,Billy Cundiff 39 yard field goal,19,24
,0:32,Colts,T.Y. Hilton 1 yard pass from Andrew Luck (pass failed),25,24
