Unnamed: 0,IND,CLE
First Downs,23,14
Rush-Yds-TDs,20-93-1,32-115-1
Cmp-Att-Yd-TD-INT,24-53-294-2-2,13-30-136-0-2
Sacked-Yards,3-25,1-3
Net Pass Yards,269,133
Total Yards,362,248
Fumbles-Lost,4-2,0-0
Turnovers,4,2
Penalties-Yards,6-40,7-85
Third Down Conv.,5-16,4-15
Fourth Down Conv.,1-1,0-0
Time of Possession,28:04,31:56
