Quarter,Time,Tm,Detail,WAS,CLE
1.0,2:50,Redskins,John Hall 31 yard field goal,3,0
,0:18,Browns,Phil Dawson 30 yard field goal,3,3
2.0,4:48,Redskins,Clinton Portis 1 yard rush (John Hall kick),10,3
3.0,12:30,Browns,Aaron Shea 15 yard pass from Jeff Garcia (Phil Dawson kick),10,10
4.0,14:52,Redskins,John Hall 26 yard field goal,13,10
,6:51,Browns,Lee Suggs 3 yard rush (Phil Dawson kick),13,17
