Unnamed: 0,WAS,CLE
First Downs,13,14
Rush-Yds-TDs,25-73-1,32-96-1
Cmp-Att-Yd-TD-INT,17-32-192-0-0,14-21-195-1-0
Sacked-Yards,0-0,3-11
Net Pass Yards,192,184
Total Yards,265,280
Fumbles-Lost,2-2,2-1
Turnovers,2,1
Penalties-Yards,7-58,8-66
Third Down Conv.,1-11,4-14
Fourth Down Conv.,1-1,0-1
Time of Possession,29:56,30:04
