Quarter,Time,Down,ToGo,Location,DET,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss and deferred, Lions to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Aldrick Rosas kicks off 61 yards, returned by Jamal Agnew for 15 yards (tackle by Kerry Wynn)",0.000,-0.150
1,14:50,1,10,DET 19,0,0,Ameer Abdullah left tackle for 4 yards (tackle by Devon Kennard and Dominique Rodgers-Cromartie),0.150,0.210
1,14:21,2,6,DET 23,0,0,Matthew Stafford pass complete short right to Eric Ebron for 17 yards (tackle by Landon Collins),0.210,1.600
1,13:36,1,10,DET 40,0,0,Ameer Abdullah left guard for 1 yard (tackle by Dominique Rodgers-Cromartie and Devon Kennard),1.600,1.190
1,12:52,2,9,DET 41,0,0,Ameer Abdullah left guard for no gain (tackle by Dalvin Tomlinson and Landon Collins),1.190,0.500
1,12:15,3,9,DET 41,0,0,Matthew Stafford pass complete short left to Darren Fells for 3 yards (tackle by Dominique Rodgers-Cromartie),0.500,-0.460
1,11:34,4,6,DET 44,0,0,"Jeff Locke punts 40 yards, fair catch by Dwayne Harris",-0.460,0.140
1,11:25,1,10,NYG 16,0,0,Paul Perkins right tackle for no gain (tackle by Tahir Whitehead and Tavon Wilson),-0.140,-0.660
1,10:52,2,10,NYG 16,0,0,Eli Manning sacked by Haloti Ngata for -3 yards,-0.660,-1.750
1,10:34,3,13,NYG 13,0,0,Shane Vereen left guard for 4 yards (tackle by Tavon Wilson),-1.750,-2.320
1,9:51,4,9,NYG 17,0,0,"Brad Wing punts 37 yards, out of bounds",-2.320,-1.990
1,9:43,1,10,DET 46,0,0,Matthew Stafford pass incomplete deep right intended for Marvin Jones,1.990,1.450
1,9:36,2,10,DET 46,0,0,Ameer Abdullah right end for 8 yards (tackle by Darian Thompson),1.450,1.820
1,8:54,3,2,NYG 46,0,0,Matthew Stafford pass complete short right to Eric Ebron for 7 yards (tackle by Eli Apple),1.820,2.980
1,8:18,1,10,NYG 39,0,0,Ameer Abdullah left end for 4 yards (tackle by Dominique Rodgers-Cromartie),2.980,2.980
1,7:29,2,6,NYG 35,0,0,"Ameer Abdullah left end for 4 yards (tackle by Ross Cockrell). Penalty on Greg Robinson: Offensive Holding, 10 yards (no play)",2.980,1.630
1,6:59,2,16,NYG 45,0,0,Matthew Stafford pass complete short left to Theo Riddick for 7 yards (tackle by Landon Collins),1.630,1.880
1,6:16,3,9,NYG 38,0,0,Matthew Stafford middle for 13 yards (tackle by Ross Cockrell),1.880,3.910
1,5:32,1,10,NYG 25,0,0,Ameer Abdullah left end for -2 yards (tackle by Dominique Rodgers-Cromartie and Damon Harrison),3.910,3.090
1,4:46,2,12,NYG 27,0,0,Matthew Stafford sacked by Kerry Wynn for 0 yards,3.090,2.410
1,4:00,3,12,NYG 27,6,0,"Matthew Stafford pass complete deep right to Marvin Jones for 27 yards, touchdown",2.410,7.000
1,4:00,,,NYG 15,7,0,"Matt Prater kicks extra point good. Penalty on Eli Apple: Defensive Offside, 5 yards",0.000,0.000
1,4:00,,,DET 40,7,0,"Jeff Locke kicks off 60 yards, touchback",0.000,-0.610
1,4:00,1,10,NYG 25,7,0,Sterling Shepard right end for 12 yards (tackle by Glover Quin),0.610,1.400
1,3:23,1,10,NYG 37,7,0,Eli Manning pass complete short right to Odell Beckham for 4 yards (tackle by Darius Slay and Tavon Wilson),1.400,1.400
1,2:41,2,6,NYG 41,7,0,Eli Manning pass complete short middle to Roger Lewis for 8 yards (tackle by Darius Slay),1.400,2.190
1,2:07,1,10,NYG 49,7,0,Eli Manning pass complete short middle to Rhett Ellison for 12 yards (tackle by Paul Worrilow),2.190,2.980
1,1:29,1,10,DET 39,7,0,Paul Perkins left guard for -1 yards (tackle by Darius Slay),2.980,2.300
1,0:51,2,11,DET 40,7,0,Eli Manning pass complete short middle to Paul Perkins for 5 yards (tackle by Ezekiel Ansah and Jarrad Davis),2.300,2.280
1,0:08,3,6,DET 35,7,0,Eli Manning pass complete short right to Evan Engram for 17 yards (tackle by Quandre Diggs),2.280,4.370
Quarter,Time,Down,ToGo,Location,DET,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DET 18,7,6,"Eli Manning pass complete deep middle to Evan Engram for 18 yards, touchdown. Penalty on Evan Engram: Unsportsmanlike Conduct, 15 yards",4.370,7.000
2,14:55,,,DET 15,7,7,Aldrick Rosas kicks extra point good,0.000,0.000
2,14:55,,,NYG 20,7,7,"Aldrick Rosas kicks off 77 yards, out of bounds",0.000,-2.590
2,14:55,1,10,NYG 45,7,7,Matthew Stafford pass incomplete short right intended for Marvin Jones,2.590,2.040
2,14:50,2,10,NYG 45,7,7,Matthew Stafford pass complete short left to Golden Tate for 5 yards (tackle by Landon Collins and Ross Cockrell),2.040,2.010
2,14:08,3,5,NYG 40,7,7,Matthew Stafford pass complete short right to Golden Tate for 5 yards (tackle by Eli Apple and Dominique Rodgers-Cromartie),2.010,3.250
2,13:26,1,10,NYG 35,7,7,Theo Riddick middle for 2 yards (tackle by Darian Thompson and Damon Harrison),3.250,2.970
2,12:43,2,8,NYG 33,7,7,Matthew Stafford pass complete short right to Eric Ebron for no gain,2.970,0.000
2,11:56,,,,,,Timeout #1 by Detroit Lions,0.000,-2.280
2,11:56,3,8,NYG 33,7,7,Matthew Stafford sacked by Jason Pierre-Paul for -7 yards. Matthew Stafford fumbles (forced by Jason Pierre-Paul),2.280,-1.330
2,11:45,1,10,NYG 36,7,7,Eli Manning pass incomplete short right intended for Evan Engram is intercepted by Tahir Whitehead at NYG-47 and returned for 18 yards,1.330,-3.640
2,11:35,1,10,NYG 29,7,7,Ameer Abdullah left tackle for 7 yards (tackle by Dominique Rodgers-Cromartie and Devon Kennard),3.640,4.050
2,10:57,2,3,NYG 22,7,7,Matthew Stafford pass complete short right to Eric Ebron for 11 yards (tackle by Darian Thompson),4.050,4.840
2,10:17,1,10,NYG 11,7,7,Dwayne Washington right tackle for 4 yards (tackle by Eli Apple and Damon Harrison),4.840,4.890
2,9:35,2,6,NYG 7,7,7,Dwayne Washington middle for no gain (tackle by Landon Collins),4.890,3.980
2,8:53,3,6,NYG 7,13,7,"Matthew Stafford pass complete short right to Eric Ebron for 7 yards, touchdown",3.980,7.000
2,8:43,,,NYG 15,14,7,Matt Prater kicks extra point good,0.000,0.000
2,8:43,,,DET 35,14,7,"Jeff Locke kicks off 65 yards, touchback",0.000,-0.610
2,8:43,1,10,NYG 25,14,7,Orleans Darkwa left end for 11 yards (tackle by Glover Quin and Tahir Whitehead),0.610,1.330
2,8:15,1,10,NYG 36,14,7,Eli Manning sacked by Jarrad Davis for -10 yards,1.330,-0.560
2,7:28,2,20,NYG 26,14,7,Eli Manning sacked by Ezekiel Ansah for -8 yards,-0.560,-2.590
2,6:44,3,28,NYG 18,14,7,"Penalty on A'Shawn Robinson: Encroachment, 5 yards (no play)",-2.590,-1.620
2,6:23,3,23,NYG 23,14,7,Eli Manning pass complete short middle to Odell Beckham for 6 yards (tackle by Glover Quin),-1.620,-1.440
2,5:49,4,17,NYG 29,14,7,"Brad Wing punts 47 yards, returned by Jamal Agnew for 4 yards (tackle by Orleans Darkwa)",-1.440,-0.810
2,5:36,1,10,DET 28,14,7,"Penalty on Greg Robinson: False Start, 5 yards (no play)",0.810,0.480
2,5:36,1,15,DET 23,14,7,Ameer Abdullah left end for -1 yards (tackle by Jonathan Casillas),0.480,-0.550
2,4:54,2,16,DET 22,14,7,Matthew Stafford pass incomplete deep left intended for Kenny Golladay. Penalty on Greg Robinson: Offensive Holding (Declined),-0.550,-1.220
