Unnamed: 0,DET,NYG
First Downs,12,14
Rush-Yds-TDs,32-138-0,18-62-0
Cmp-Att-Yd-TD-INT,15-21-122-2-0,22-32-239-1-1
Sacked-Yards,3-3,5-31
Net Pass Yards,119,208
Total Yards,257,270
Fumbles-Lost,1-1,1-0
Turnovers,1,1
Penalties-Yards,6-50,7-50
Third Down Conv.,7-15,4-12
Fourth Down Conv.,0-1,0-2
Time of Possession,32:47,27:13
