Quarter,Time,Tm,Detail,DET,NYG
1.0,4:00,Lions,Marvin Jones 27 yard pass from Matthew Stafford (Matt Prater kick),7,0
2.0,14:55,Giants,Evan Engram 18 yard pass from Eli Manning (Aldrick Rosas kick),7,7
,8:43,Lions,Eric Ebron 7 yard pass from Matthew Stafford (Matt Prater kick),14,7
,0:30,Lions,Matt Prater 56 yard field goal,17,7
3.0,4:58,Giants,Aldrick Rosas 25 yard field goal,17,10
4.0,12:56,Lions,Jamal Agnew 88 yard punt return (Matt Prater kick),24,10
