Quarter,Time,Tm,Detail,JAX,HOU
1.0,10:23,Texans,Arian Foster 10 yard pass from Case Keenum (Randy Bullock kick),0,7
,6:02,Jaguars,Josh Scobee 53 yard field goal,3,7
,2:55,Jaguars,Dwayne Gratz 55 yard interception return (Josh Scobee kick),10,7
2.0,6:34,Texans,Alfred Blue 1 yard rush (Randy Bullock kick),10,14
3.0,4:45,Jaguars,Jordan Todman 23 yard pass from Cecil Shorts (Josh Scobee kick),17,14
4.0,13:34,Texans,Andre Johnson 8 yard pass from Case Keenum (Randy Bullock kick),17,21
,5:37,Texans,"Safety, Blake Bortles sacked in the end zone by J.J. Watt.",17,23
