Unnamed: 0,ARI,PHI
First Downs,12,32
Rush-Yds-TDs,10-25-0,40-185-2
Cmp-Att-Yd-TD-INT,21-39-235-3-3,27-39-260-4-0
Sacked-Yards,0-0,1-8
Net Pass Yards,235,252
Total Yards,260,437
Fumbles-Lost,3-1,1-1
Turnovers,4,1
Penalties-Yards,1-2,8-61
Third Down Conv.,3-10,10-15
Fourth Down Conv.,0-2,0-0
Time of Possession,20:27,39:33
