Quarter,Time,Tm,Detail,ARI,PHI
1.0,7:56,Eagles,Brian Westbrook 5 yard pass from Donovan McNabb (David Akers kick),0,7
,3:27,Eagles,Brian Westbrook 1 yard rush (David Akers kick),0,14
2.0,8:24,Eagles,Brian Westbrook 2 yard pass from Donovan McNabb (David Akers kick),0,21
,2:58,Cardinals,Larry Fitzgerald 1 yard pass from Kurt Warner (Neil Rackers kick),7,21
,0:01,Eagles,David Akers 42 yard field goal,7,24
3.0,6:17,Eagles,Brian Westbrook 9 yard rush (David Akers kick),7,31
,3:21,Cardinals,Steve Breaston 6 yard pass from Kurt Warner (pass failed),13,31
,0:23,Eagles,David Akers 41 yard field goal,13,34
4.0,14:15,Cardinals,Larry Fitzgerald 7 yard pass from Kurt Warner (Neil Rackers kick),20,34
,10:27,Eagles,DeSean Jackson 5 yard pass from Donovan McNabb (David Akers kick),20,41
,5:19,Eagles,Jason Avant 8 yard pass from Donovan McNabb (David Akers kick),20,48
