Quarter,Time,Down,ToGo,Location,OAK,WAS,Detail,EPB,EPA
1,0:21,3,5,OAK 27,0,7,"Derek Carr pass complete short right to Amari Cooper for 6 yards (tackle by Martrell Spaight and Kendall Fuller). Penalty on Seth Roberts: Offensive Holding, 10 yards",-0.160,-0.690
Quarter,Time,Down,ToGo,Location,OAK,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,9,OAK 23,0,7,Derek Carr pass incomplete short middle intended for Amari Cooper,-0.690,-1.830
2,14:55,4,9,OAK 23,0,7,"Marquette King punts 60 yards, fair catch by Jamison Crowder",-1.830,0.060
2,14:46,1,10,WAS 17,0,7,"Kirk Cousins pass complete short right to Vernon Davis for 7 yards (tackle by Khalil Mack and Gareon Conley). Penalty on Terrelle Pryor: Offensive Holding, 10 yards",-0.060,-0.340
2,14:12,1,13,WAS 14,0,7,Kirk Cousins pass complete short right to Samaje Perine for 6 yards (tackle by Justin Ellis and Denico Autry),-0.340,-0.060
2,13:25,2,7,WAS 20,0,7,Chris Thompson right end for 4 yards (tackle by James Cowser),-0.060,-0.370
2,12:44,3,3,WAS 24,0,7,Kirk Cousins sacked by Khalil Mack for -9 yards,-0.370,-2.440
2,12:09,4,12,WAS 15,0,7,"Tress Way punts 54 yards, returned by Jalen Richard for -2 yards (tackle by Fabian Moreau)",-2.440,-0.870
2,11:59,1,10,OAK 29,0,7,Derek Carr pass complete short left to Jared Cook for 9 yards (tackle by Zach Brown),0.870,1.540
2,11:45,2,1,OAK 38,0,7,"Penalty on Ryan Kerrigan: Neutral Zone Infraction, 5 yards (no play)",1.540,1.800
2,11:26,1,10,OAK 43,0,7,Marshawn Lynch left end for 1 yard (tackle by Matthew Ioannidis and Zach Brown),1.800,1.390
2,10:50,2,9,OAK 44,0,7,Derek Carr pass complete short right to Marshawn Lynch for 8 yards (tackle by Josh Norman and Martrell Spaight),1.390,1.750
2,10:05,3,1,WAS 48,0,7,Derek Carr pass incomplete deep left intended for Seth Roberts is intercepted by Kendall Fuller at WAS-28,1.750,-0.810
2,9:58,1,10,WAS 28,0,7,Samaje Perine left guard for 9 yards (tackle by Karl Joseph),0.810,1.480
2,9:26,2,1,WAS 37,0,7,Samaje Perine middle for 3 yards (tackle by Karl Joseph),1.480,1.600
2,8:47,1,10,WAS 40,0,7,Kirk Cousins pass complete short right to Ryan Grant for 11 yards (tackle by T.J. Carrie),1.600,2.320
2,8:15,1,10,OAK 49,0,7,Samaje Perine right tackle for 8 yards (tackle by David Amerson and Marquel Lee),2.320,2.860
2,7:34,2,2,OAK 41,0,7,Kirk Cousins pass complete short right to Terrelle Pryor for 12 yards,2.860,3.640
2,7:15,1,10,OAK 29,0,7,Samaje Perine left guard for 2 yards (tackle by Justin Ellis and Khalil Mack),3.640,3.370
2,6:38,2,8,OAK 27,0,7,Kirk Cousins pass complete short right to Vernon Davis for 2 yards (tackle by Karl Joseph),3.370,2.940
2,6:00,3,6,OAK 25,0,7,Kirk Cousins pass complete short left to Jamison Crowder for 6 yards (tackle by Gareon Conley),2.940,4.310
2,5:19,1,10,OAK 19,0,7,Samaje Perine right guard for 4 yards (tackle by Cory James and Khalil Mack),4.310,4.350
2,4:39,2,6,OAK 15,0,7,Kirk Cousins pass complete short right to Jamison Crowder for -3 yards (tackle by T.J. Carrie and Cory James),4.350,3.140
2,3:53,3,9,OAK 18,0,13,"Kirk Cousins pass complete deep middle to Vernon Davis for 18 yards, touchdown",3.140,7.000
2,3:48,,,OAK 15,0,14,Dustin Hopkins kicks extra point good,0.000,0.000
2,3:48,,,WAS 35,0,14,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.610
2,3:48,1,10,OAK 25,0,14,Jalen Richard left guard for 11 yards (tackle by Montae Nicholson),0.610,1.330
2,3:15,1,10,OAK 36,0,14,Derek Carr pass complete short left to Jalen Richard for 4 yards (tackle by Martrell Spaight and Zach Brown),1.330,1.330
2,2:39,2,6,OAK 40,0,14,Jalen Richard right end for -7 yards (tackle by Ryan Kerrigan),1.330,-0.300
2,2:00,3,13,OAK 33,0,14,Derek Carr pass complete short middle to Seth Roberts for 5 yards (tackle by Zach Brown),-0.300,0.000
2,1:52,,,,,,Timeout #1 by Washington Redskins,0.000,0.850
2,1:52,4,8,OAK 38,0,14,"Marquette King punts 52 yards, returned by Jamison Crowder for 5 yards (tackle by Keith McGill)",-0.850,0.220
2,1:42,1,10,WAS 15,0,14,Chris Thompson left end for 13 yards (tackle by Reggie Nelson),-0.220,0.810
2,1:35,1,10,WAS 28,0,14,Kirk Cousins pass complete short left to Chris Thompson for 23 yards (tackle by Karl Joseph),0.810,2.320
2,1:26,1,10,OAK 49,0,14,Kirk Cousins pass incomplete short right intended for Ryan Grant,2.320,1.780
2,1:22,2,10,OAK 49,0,14,Chris Thompson right tackle for 4 yards (tackle by Cory James),1.780,0.000
2,1:09,,,,,,Timeout #2 by Washington Redskins,0.000,-1.620
2,1:09,3,6,OAK 45,0,14,Kirk Cousins pass complete short middle to Vernon Davis for 5 yards (tackle by Nicholas Morrow),1.620,0.590
2,0:22,4,1,OAK 40,0,14,"Penalty on Kirk Cousins: Delay of Game, 5 yards (no play)",0.590,0.270
2,0:19,4,6,OAK 45,0,14,"Tress Way punts 34 yards, fair catch by T.J. Carrie",0.270,0.370
2,0:14,1,10,OAK 11,0,14,Derek Carr kneels for -1 yards,-0.370,-0.850
Quarter,Time,Down,ToGo,Location,OAK,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 35,0,14,"Giorgio Tavecchio kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,WAS 25,0,14,Samaje Perine middle for 2 yards (tackle by Marquel Lee and Justin Ellis),0.610,0.330
3,14:17,2,8,WAS 27,0,14,Kirk Cousins pass incomplete short middle intended for Josh Doctson (defended by David Amerson),0.330,-0.360
3,14:11,3,8,WAS 27,0,14,Kirk Cousins pass complete short middle to Chris Thompson for 11 yards (tackle by Karl Joseph and Cory James),-0.360,1.470
,,,,,,,"OAK challenged the runner was not down by contact ruling, and the original play was overturned.",,
3,13:13,1,10,WAS 38,0,14,"Samaje Perine left guard for 2 yards (tackle by Khalil Mack and Justin Ellis). Penalty on Niles Paul: Offensive Holding, 10 yards (no play)",1.470,0.810
3,12:48,1,20,WAS 28,0,14,Chris Thompson middle for no gain (tackle by Cory James and Khalil Mack),0.810,-0.430
3,12:11,2,20,WAS 28,0,14,Kirk Cousins pass complete short right to Chris Thompson for 16 yards (tackle by David Amerson and Denico Autry),-0.430,1.020
3,11:27,3,4,WAS 44,0,14,Kirk Cousins pass complete short left to Chris Thompson for 4 yards (tackle by T.J. Carrie),1.020,2.130
3,10:47,1,10,WAS 48,0,20,"Kirk Cousins pass complete deep right to Josh Doctson for 52 yards, touchdown",2.130,7.000
3,10:37,,,OAK 15,0,21,Dustin Hopkins kicks extra point good,0.000,0.000
3,10:37,,,WAS 35,0,21,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.610
3,10:37,1,10,OAK 25,0,21,Derek Carr sacked by Ryan Kerrigan for -5 yards,0.610,-0.610
3,9:57,2,15,OAK 20,0,21,Marshawn Lynch left end for 5 yards (tackle by D.J. Swearinger),-0.610,-0.620
3,9:19,3,10,OAK 25,0,21,Derek Carr sacked by Jonathan Allen and Matthew Ioannidis for -8 yards,-0.620,-2.320
3,8:36,4,18,OAK 17,0,21,"Marquette King punts 42 yards, returned by Jamison Crowder for 18 yards (tackle by Tyrell Adams)",-2.320,-2.850
3,8:24,1,10,OAK 41,0,21,Samaje Perine middle for 1 yard (tackle by Khalil Mack and Cory James),2.850,2.440
3,7:50,2,9,OAK 40,0,21,Kirk Cousins pass complete short right to Ryan Grant for 6 yards (tackle by David Amerson),2.440,2.540
3,7:09,3,3,OAK 34,0,21,Kirk Cousins pass incomplete deep right intended for Terrelle Pryor (defended by David Amerson),2.540,1.090
3,7:03,4,3,OAK 34,0,21,Dustin Hopkins 52 yard field goal no good,1.090,-1.730
3,6:58,1,10,OAK 42,0,21,DeAndre Washington right guard for no gain (tackle by Zach Brown and Martrell Spaight),1.730,1.190
3,6:13,2,10,OAK 42,0,21,Derek Carr pass complete short middle to Jared Cook for 7 yards (tackle by Martrell Spaight and Zach Brown),1.190,1.420
3,5:30,3,3,OAK 49,0,21,Derek Carr pass complete short left to Seth Roberts for -2 yards (tackle by Zach Brown and Bashaud Breeland),1.420,-0.260
3,4:49,4,5,OAK 47,0,21,"Marquette King punts 44 yards, muffed catch by Jamison Crowder, recovered by James Cowser and returned for no gain",-0.260,4.370
3,4:39,1,10,WAS 18,0,21,Cordarrelle Patterson right end for -3 yards (tackle by Ryan Kerrigan),4.370,3.420
3,4:00,2,13,WAS 21,6,21,"Derek Carr pass complete short left to Jared Cook for 21 yards, touchdown. Penalty on Bashaud Breeland: Defensive Holding (Declined)",3.420,7.000
3,3:52,,,WAS 15,7,21,Giorgio Tavecchio kicks extra point good,0.000,0.000
3,3:52,,,OAK 35,7,21,"Giorgio Tavecchio kicks off 65 yards, touchback",0.000,-0.610
3,3:52,1,10,WAS 25,7,21,Samaje Perine right guard for 1 yard (tackle by Khalil Mack),0.610,0.200
3,3:14,2,9,WAS 26,7,21,Kirk Cousins pass incomplete short middle intended for Terrelle Pryor (defended by David Amerson),0.200,-0.490
3,3:09,3,9,WAS 26,7,21,"Kirk Cousins middle for 12 yards (tackle by Gareon Conley). Penalty on Trent Williams: Offensive Holding, 10 yards (no play)",-0.490,-2.140
3,2:36,3,19,WAS 16,7,21,Kirk Cousins pass complete short left to Chris Thompson for 74 yards (tackle by David Amerson),-2.140,4.910
3,2:05,1,10,OAK 10,7,21,Chris Thompson right tackle for 2 yards (tackle by Karl Joseph),4.910,4.570
3,1:26,2,8,OAK 8,7,21,Samaje Perine right guard for 4 yards (tackle by Bruce Irvin),4.570,4.490
3,0:46,3,4,OAK 4,7,21,Kirk Cousins pass complete short middle to Jamison Crowder for -1 yards (tackle by Denico Autry and James Cowser),4.490,3.010
Quarter,Time,Down,ToGo,Location,OAK,WAS,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,5,OAK 5,7,24,Dustin Hopkins 23 yard field goal good,3.010,3.000
4,14:58,,,WAS 35,7,24,"Dustin Hopkins kicks off 70 yards, returned by Cordarrelle Patterson for 27 yards (tackle by Bashaud Breeland)",0.000,-0.410
4,14:54,1,10,OAK 22,7,24,Derek Carr pass complete short right to Michael Crabtree for 7 yards (tackle by Josh Norman),0.410,0.810
4,14:22,2,3,OAK 29,7,24,"DeAndre Washington middle for 6 yards (tackle by Zach Brown and Martrell Spaight). Penalty on Kelechi Osemele: Offensive Holding, 10 yards (no play)",0.810,-0.600
4,14:06,2,13,OAK 19,7,24,Derek Carr pass complete short middle to DeAndre Washington for 2 yards (tackle by Martrell Spaight and Zach Brown),-0.600,-0.960
4,13:25,3,11,OAK 21,7,24,Derek Carr pass incomplete deep left intended for Michael Crabtree,-0.960,-1.960
4,13:18,4,11,OAK 21,7,24,"Marquette King punts 61 yards, returned by Jamison Crowder for 13 yards (tackle by Johnny Holton). Penalty on Stefan McClure: Offensive Holding, 9 yards",-1.960,0.380
4,13:05,1,10,WAS 9,7,24,Samaje Perine middle for 3 yards (tackle by Treyvon Hester),-0.380,-0.560
4,12:24,2,7,WAS 12,7,24,"Samaje Perine left tackle for no gain (tackle by Cory James). Samaje Perine fumbles (forced by Cory James), recovered by James Cowser at WAS-12 (tackle by Niles Paul)",-0.560,-4.780
4,12:16,1,10,WAS 12,7,24,"Derek Carr pass incomplete short left intended for Seth Roberts. Penalty on Bashaud Breeland: Defensive Pass Interference, 8 yards (no play)",4.780,6.280
4,12:11,1,4,WAS 4,7,24,Derek Carr pass incomplete short left intended for Jared Cook (defended by Deshazor Everett),6.280,5.340
4,12:07,2,4,WAS 4,7,24,Derek Carr pass incomplete short right intended for Cordarrelle Patterson (defended by Bashaud Breeland),5.340,4.490
4,12:01,3,4,WAS 4,7,24,Derek Carr pass incomplete short left intended for Amari Cooper,4.490,3.030
4,11:57,4,4,WAS 4,10,24,Giorgio Tavecchio 22 yard field goal good,3.030,3.000
4,11:54,,,OAK 35,10,24,"Giorgio Tavecchio kicks off 65 yards, touchback",0.000,-0.610
4,11:54,1,10,WAS 25,10,24,Mack Brown right end for 1 yard (tackle by Bruce Irvin and David Amerson),0.610,0.200
4,11:17,2,9,WAS 26,10,24,Kirk Cousins pass complete short right to Jamison Crowder for 30 yards (tackle by T.J. Carrie),0.200,2.650
4,10:29,1,10,OAK 44,10,24,Chris Thompson left end for 8 yards (tackle by Reggie Nelson),2.650,3.190
4,9:55,2,2,OAK 36,10,24,Chris Thompson left tackle for 7 yards (tackle by Khalil Mack),3.190,3.640
4,9:13,1,10,OAK 29,10,24,Mack Brown right end for 11 yards (tackle by Nicholas Morrow and Bruce Irvin),3.640,4.370
4,8:24,1,10,OAK 18,10,24,Mack Brown right end for 6 yards (tackle by Nicholas Morrow and Justin Ellis),4.370,4.810
4,7:38,2,4,OAK 12,10,24,Chris Thompson middle for no gain (tackle by Marquel Lee and Justin Ellis),4.810,0.000
4,6:51,,,,,,Timeout #1 by Washington Redskins,0.000,-4.030
4,6:51,3,4,OAK 12,10,24,Kirk Cousins middle for 2 yards (tackle by James Cowser),4.030,2.890
4,6:07,4,2,OAK 10,10,27,Dustin Hopkins 28 yard field goal good,2.890,3.000
4,6:02,,,WAS 35,10,27,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.610
4,6:02,1,10,OAK 25,10,27,Derek Carr pass incomplete short middle intended for DeAndre Washington,0.610,0.060
4,5:56,2,10,OAK 25,10,27,Derek Carr pass complete short left to Cordarrelle Patterson for 7 yards (tackle by Bashaud Breeland),0.060,0.300
4,5:23,3,3,OAK 32,10,27,Derek Carr pass incomplete,0.300,-1.240
4,5:18,4,3,OAK 32,10,27,Derek Carr left guard for 6 yards,-1.240,1.470
4,4:50,1,10,OAK 38,10,27,Derek Carr pass complete short middle to DeAndre Washington for 3 yards (tackle by Martrell Spaight),1.470,1.330
4,4:19,2,7,OAK 41,10,27,"Derek Carr pass incomplete deep left intended for Seth Roberts. Penalty on Marshall Newhouse: Offensive Holding, 10 yards (no play)",1.330,-0.020
4,4:14,2,17,OAK 31,10,27,Derek Carr pass complete short right to Clive Walford for -1 yards (tackle by Ryan Anderson),-0.020,-0.820
4,3:32,3,18,OAK 30,10,27,Derek Carr pass incomplete deep right intended for Amari Cooper,-0.820,-1.370
4,3:25,4,18,OAK 30,10,27,"Penalty on Donald Penn: False Start, 5 yards (no play)",-1.370,-1.700
4,3:25,4,23,OAK 25,10,27,"Derek Carr pass complete short left to Seth Roberts for 9 yards (tackle by Kendall Fuller). Seth Roberts fumbles (forced by Kendall Fuller), recovered by Martrell Spaight at OAK-37 (tackle by Lee Smith)",-1.700,-3.120
4,3:14,1,10,OAK 37,10,27,Mack Brown middle for 9 yards (tackle by Karl Joseph),3.120,3.790
4,2:28,2,1,OAK 28,10,27,Mack Brown left end for -1 yards (tackle by Eddie Vanderdoes),3.790,2.940
4,2:00,3,2,OAK 29,10,27,Mack Brown left guard for 1 yard (tackle by Cory James). Penalty on Niles Paul: Illegal Formation (Declined),2.940,1.720
4,1:53,4,1,OAK 28,10,27,"Mack Brown right end for 19 yards (tackle by Marquel Lee). Penalty on Vernon Davis: Offensive Holding, 10 yards (no play)",1.720,0.720
4,1:45,4,11,OAK 38,10,27,"Tress Way punts 32 yards, fair catch by T.J. Carrie",0.720,0.380
4,1:38,1,10,OAK 6,10,27,Derek Carr pass complete short middle to DeAndre Washington for 7 yards (tackle by Martrell Spaight and Zach Brown),-0.380,-0.270
4,0:56,2,3,OAK 13,10,27,Derek Carr pass complete short right to Jared Cook for 6 yards (tackle by Fabian Moreau and D.J. Swearinger),-0.270,0.150
4,0:50,1,10,OAK 19,10,27,Derek Carr pass complete short middle to DeAndre Washington for 7 yards (tackle by Zach Brown and Martrell Spaight),0.150,0.610
4,0:22,2,3,OAK 26,10,27,Derek Carr pass complete short middle to DeAndre Washington for 5 yards (tackle by Zach Brown),0.610,1.000
4,0:05,1,10,OAK 31,10,27,Derek Carr pass complete short left to Seth Roberts for 8 yards (tackle by Quinton Dunbar),1.000,1.540
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
