Unnamed: 0,OAK,WAS
First Downs,7,18
Rush-Yds-TDs,13-32-0,34-116-0
Cmp-Att-Yd-TD-INT,19-31-118-1-2,25-30-365-3-0
Sacked-Yards,4-22,1-9
Net Pass Yards,96,356
Total Yards,128,472
Fumbles-Lost,1-1,2-2
Turnovers,3,2
Penalties-Yards,4-35,10-77
Third Down Conv.,0-11,7-15
Fourth Down Conv.,1-2,0-0
Time of Possession,21:54,38:06
