Unnamed: 0,GNB,MIN
First Downs,26,15
Rush-Yds-TDs,42-182-2,19-111-3
Cmp-Att-Yd-TD-INT,24-29-285-2-0,14-21-145-0-0
Sacked-Yards,2-3,3-13
Net Pass Yards,282,132
Total Yards,464,243
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,6-120,7-46
Third Down Conv.,13-18,2-8
Fourth Down Conv.,2-2,0-0
Time of Possession,40:54,19:06
