Quarter,Time,Tm,Detail,CAR,CIN
1.0,2:09,Panthers,Kris Mangum 7 yard pass from Jake Delhomme (John Kasay kick),7,0
2.0,3:16,Bengals,Reggie Kelly 16 yard pass from Carson Palmer (Shayne Graham kick),7,7
,0:47,Panthers,Nick Goings 20 yard pass from Jake Delhomme (John Kasay kick),14,7
3.0,7:06,Bengals,Shayne Graham 23 yard field goal,14,10
4.0,8:07,Bengals,T.J. Houshmandzadeh 1 yard pass from Carson Palmer (Shayne Graham kick),14,17
