Unnamed: 0,CAR,CIN
First Downs,17,22
Rush-Yds-TDs,16-60-0,30-112-0
Cmp-Att-Yd-TD-INT,20-34-238-2-1,23-39-240-2-0
Sacked-Yards,3-21,2-10
Net Pass Yards,217,230
Total Yards,277,342
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,8-41,5-55
Third Down Conv.,2-11,6-16
Fourth Down Conv.,0-0,1-1
Time of Possession,25:28,34:32
