Quarter,Time,Down,ToGo,Location,GNB,CIN,Detail,EPB,EPA
2,8:02,2,9,CIN 43,7,7,Carson Palmer pass complete to Chris Perry for 4 yards (tackle by Mark Roman),1.320,1.160
2,7:35,3,5,CIN 47,7,7,"Carson Palmer pass incomplete intended for Chad Johnson. Penalty on Joey Thomas: Illegal Use of Hands, 5 yards (no play)",1.160,2.390
2,7:30,1,10,GNB 48,7,7,Rudi Johnson left tackle for 10 yards (tackle by Nick Barnett),2.390,3.050
2,6:45,1,10,GNB 38,7,7,Carson Palmer pass complete to Chad Johnson for 4 yards (tackle by Nick Collins and Al Harris),3.050,3.050
2,6:10,2,6,GNB 34,7,7,"Carson Palmer kneels for -2 yards. Penalty on Kabeer Gbaja-Biamila: Defensive Offside, 5 yards (no play)",3.050,3.720
2,6:02,2,1,GNB 29,7,7,Rudi Johnson right tackle for 8 yards (tackle by Mark Roman),3.720,4.170
2,5:25,1,10,GNB 21,7,7,Rudi Johnson right guard for -8 yards (tackle by Mark Roman),4.170,2.550
2,4:39,2,18,GNB 29,7,7,Carson Palmer pass complete to T.J. Houshmandzadeh for 12 yards (tackle by Michael Hawkins),2.550,3.460
2,3:57,3,6,GNB 17,7,7,Carson Palmer pass complete to Chad Johnson for 9 yards (tackle by Mark Roman),3.460,5.370
2,3:22,,,,7,7,Timeout #1 by Cincinnati Bengals,0.000,5.370
2,3:22,1,8,GNB 8,7,7,Carson Palmer pass incomplete intended for Chad Johnson,5.370,4.570
2,3:17,2,8,GNB 8,7,7,Carson Palmer pass incomplete intended for Chris Perry,4.570,3.580
2,3:12,3,8,GNB 8,7,13,"Carson Palmer pass complete to T.J. Houshmandzadeh for 8 yards, touchdown",3.580,7.000
2,,,,GNB 2,7,14,Shayne Graham kicks extra point good,0.000,0.000
2,,,,CIN 30,7,14,"Shayne Graham kicks off 62 yards, returned by ReShard Lee for 20 yards (tackle by Larry Stevens)",0.000,0.810
2,3:00,1,10,GNB 28,7,14,Tony Fisher right guard for 8 yards (tackle by Odell Thurman),0.810,1.340
2,2:26,2,2,GNB 36,7,14,Brett Favre pass complete to Donald Lee for 13 yards (tackle by Ifeanyi Ohalete),1.340,2.190
2,2:00,1,10,GNB 49,7,14,Brett Favre pass complete to Tony Fisher for 7 yards (tackle by Landon Johnson),2.190,2.590
2,1:27,2,3,CIN 44,7,14,Brett Favre pass incomplete intended for Antonio Chatman is intercepted by Odell Thurman at CIN-43,2.590,-1.800
2,1:21,1,10,CIN 43,7,14,Carson Palmer pass complete to Chris Henry for 5 yards (tackle by Michael Hawkins),1.800,1.930
2,1:04,2,5,CIN 48,7,14,"Carson Palmer pass incomplete intended for Kevin Walter. Penalty on Ahmad Carroll: Defensive Pass Interfere, 4 yards (no play)",1.930,2.390
2,0:59,,,,7,14,Timeout #2 by Cincinnati Bengals,0.000,2.390
2,0:59,1,10,GNB 48,7,14,Carson Palmer pass complete to Chris Perry for -3 yards (tackle by Kabeer Gbaja-Biamila),2.390,1.440
2,0:36,2,13,CIN 49,7,14,Carson Palmer pass complete to T.J. Houshmandzadeh for 21 yards (tackle by Al Harris),1.440,3.580
2,0:31,1,10,GNB 30,7,14,"Penalty on CIN: Illegal Substitution, 5 yards (no play)",3.580,3.250
2,0:31,1,15,GNB 35,7,14,Carson Palmer pass complete to Chad Johnson for 6 yards (tackle by Nick Collins),3.250,3.170
2,0:08,2,9,GNB 29,7,14,Carson Palmer pass complete to T.J. Houshmandzadeh for 20 yards (tackle by Ahmad Carroll),3.170,2.320
Quarter,Time,Down,ToGo,Location,GNB,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CIN 30,7,14,"Shayne Graham kicks off 67 yards, returned by ReShard Lee for 29 yards (tackle by Shayne Graham)",0.000,1.070
3,14:53,1,10,GNB 32,7,14,Brett Favre pass complete to William Henderson for 9 yards (tackle by Brian Simmons and Bryan Robinson),1.070,1.740
3,14:16,2,1,GNB 41,7,14,Tony Fisher right guard for 3 yards (tackle by Tory James),1.740,1.860
3,13:45,1,10,GNB 44,7,14,Brett Favre pass complete to Antonio Chatman for 8 yards (tackle by Tory James),1.860,2.400
3,13:14,2,2,CIN 48,7,14,Tony Fisher left guard for -1 yards (tackle by John Thornton),2.400,1.550
3,12:37,3,3,CIN 49,7,14,Brett Favre pass incomplete intended for Donald Lee,1.550,0.000
3,12:30,4,3,CIN 49,7,14,"B.J. Sander punts 49 yards, touchback",0.000,-0.280
3,12:20,1,10,CIN 20,7,14,T.J. Houshmandzadeh left end for -3 yards (tackle by Al Harris),0.280,-0.790
3,11:53,2,13,CIN 17,7,14,Rudi Johnson left tackle for 15 yards (tackle by Nick Barnett),-0.790,1.070
3,11:08,1,10,CIN 32,7,14,Rudi Johnson right tackle for -2 yards (tackle by Aaron Kampman),1.070,0.260
3,10:29,2,12,CIN 30,7,14,Carson Palmer pass incomplete intended for Chad Johnson (defended by Nick Collins),0.260,-0.430
3,10:23,3,12,CIN 30,7,14,Carson Palmer pass incomplete intended for Chad Johnson (defended by Nick Collins),-0.430,-1.370
3,10:18,4,12,CIN 30,7,14,"Kyle Larson punts 55 yards, returned by Antonio Chatman for 5 yards (tackle by Hannibal Navies)",-1.370,-0.280
3,10:05,1,10,GNB 20,7,14,Tony Fisher right guard for 12 yards (tackle by Landon Johnson),0.280,1.070
3,9:27,1,10,GNB 32,7,14,Brett Favre pass complete to Donald Driver for 28 yards (tackle by Tory James),1.070,2.920
3,8:46,1,10,CIN 40,7,14,Donald Driver for 9 yards (tackle by Tory James),2.920,3.590
3,8:21,2,1,CIN 31,7,14,Tony Fisher right end for 6 yards (tackle by Kevin Kaesviharn),3.590,3.910
3,7:45,1,10,CIN 25,7,14,Tony Fisher left end for 2 yards (tackle by Kevin Kaesviharn and Landon Johnson),3.910,3.630
3,7:04,2,8,CIN 23,7,14,Brett Favre pass incomplete intended for Donald Driver is intercepted by Deltha O'Neal at CIN-2,3.630,0.380
3,6:56,1,10,CIN 2,7,14,Carson Palmer pass complete to Chad Johnson for 38 yards (tackle by Ahmad Carroll). Penalty on Ahmad Carroll: Defensive Pass Interfere (Declined),-0.380,1.600
3,6:35,1,10,CIN 40,7,14,Rudi Johnson left tackle for no gain (tackle by Colin Cole and Kabeer Gbaja-Biamila),1.600,1.050
3,6:02,2,10,CIN 40,7,14,Carson Palmer pass complete to Rudi Johnson for no gain,1.050,0.370
3,5:23,3,10,CIN 40,7,14,Carson Palmer pass incomplete intended for Chad Johnson,0.370,-0.720
3,5:17,4,10,CIN 40,7,14,Kyle Larson punts 49 yards,-0.720,-0.410
3,5:06,1,10,GNB 22,7,14,Samkon Gado right end for 8 yards (tackle by Brian Simmons and Deltha O'Neal),0.410,0.950
3,4:30,2,2,GNB 30,7,14,Tony Fisher right guard for 8 yards (tackle by Brian Simmons),0.950,1.470
3,3:53,1,10,GNB 38,7,14,Brett Favre pass complete to Bubba Franks for 11 yards (tackle by Kevin Kaesviharn),1.470,2.190
3,3:15,1,10,GNB 49,7,14,Brett Favre pass incomplete intended for Donald Driver is intercepted by Deltha O'Neal at CIN-37 and returned for 21 yards,2.190,-2.790
3,3:05,1,10,GNB 42,7,14,Rudi Johnson left guard for no gain (tackle by Colin Cole),2.790,2.240
3,2:26,2,10,GNB 42,7,14,Carson Palmer pass incomplete intended for Chris Henry,2.240,1.550
3,2:19,3,10,GNB 42,7,14,Carson Palmer pass incomplete intended for Chad Johnson,1.550,0.460
3,2:13,4,10,GNB 42,7,14,Kyle Larson punts 33 yards,0.460,-0.740
3,2:04,1,10,GNB 27,7,14,Brett Favre pass incomplete intended for Tony Fisher is intercepted by Tory James at CIN-34,0.740,-1.200
3,1:51,1,10,CIN 34,7,14,Carson Palmer pass complete to T.J. Houshmandzadeh for 16 yards (tackle by Nick Collins),1.200,2.260
3,1:08,1,10,CIN 50,7,14,Rudi Johnson left guard for 2 yards (tackle by Corey Williams and Nick Barnett),2.260,1.980
3,0:27,2,8,GNB 48,7,14,Rudi Johnson up the middle for 3 yards (tackle by Corey Williams),1.980,1.690
Quarter,Time,Down,ToGo,Location,GNB,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,5,GNB 45,7,14,Carson Palmer pass incomplete intended for Chad Johnson,1.690,0.270
4,14:54,4,5,GNB 45,7,14,Kyle Larson punts 22 yards. Penalty on Tony Stewart: Offensive Holding (Declined),0.270,-0.480
4,14:44,1,10,GNB 23,7,14,Tony Fisher up the middle for -1 yards (tackle by Carl Powell),0.480,-0.200
4,14:05,2,11,GNB 22,7,14,Brett Favre pass complete to Donald Lee for 8 yards (tackle by Brian Simmons and Landon Johnson),-0.200,0.170
4,13:32,3,3,GNB 30,7,14,Brett Favre pass incomplete intended for Donald Driver is intercepted by Odell Thurman at GNB-37 and returned for 10 yards,0.170,-3.780
4,13:24,1,10,GNB 27,7,20,"Carson Palmer pass complete to Jeremi Johnson for 27 yards, touchdown",3.780,7.000
4,,,,GNB 2,7,21,Shayne Graham kicks extra point good,0.000,0.000
4,,,,CIN 30,7,21,"Shayne Graham kicks off 66 yards, returned by ReShard Lee for 30 yards (tackle by Greg Brooks)",0.000,1.200
4,13:10,1,10,GNB 34,7,21,Tony Fisher left end for 2 yards (tackle by Carl Powell),1.200,0.930
4,12:32,2,8,GNB 36,7,21,Brett Favre pass complete to Bubba Franks for 8 yards (tackle by Landon Johnson),0.930,1.860
4,11:45,1,10,GNB 44,7,21,Brett Favre pass incomplete intended for Bubba Franks,1.860,1.320
4,11:39,2,10,GNB 44,7,21,Tony Fisher up the middle for -2 yards (tackle by Duane Clemons and Carl Powell),1.320,0.370
4,11:00,3,12,GNB 42,7,21,"Brett Favre for no gain. Brett Favre fumbles, recovered by Tony Fisher at GNB-26",0.370,-1.630
4,10:35,4,28,GNB 26,7,21,"B.J. Sander punts 43 yards, returned by Keiwan Ratliff for 3 yards (tackle by Marviel Underwood)",-1.630,-1.200
4,10:24,1,10,CIN 34,7,21,Carson Palmer pass complete to Chris Perry for 9 yards (tackle by Mark Roman),1.200,1.870
4,10:00,2,1,CIN 43,7,21,Rudi Johnson right guard for 7 yards (tackle by Aaron Kampman),1.870,2.260
4,9:17,1,10,CIN 50,7,21,Rudi Johnson right guard for 3 yards (tackle by Aaron Kampman),2.260,2.120
4,8:37,2,7,GNB 47,7,21,Carson Palmer pass incomplete intended for T.J. Houshmandzadeh is intercepted by Ahmad Carroll at GNB-12,2.120,0.350
4,8:28,1,10,GNB 12,7,21,Brett Favre pass complete to Antonio Chatman for 13 yards (tackle by Tory James),-0.350,0.610
4,8:06,1,10,GNB 25,7,21,Brett Favre pass incomplete intended for Antonio Chatman,0.610,0.060
4,8:02,2,10,GNB 25,7,21,Brett Favre pass complete to Antonio Chatman for 6 yards (tackle by Brian Simmons),0.060,0.170
4,7:28,3,4,GNB 31,7,21,Brett Favre pass complete to Antonio Chatman for 19 yards (tackle by Ifeanyi Ohalete),0.170,2.260
4,7:09,1,10,CIN 50,7,21,Brett Favre pass complete to Donald Driver for 3 yards (tackle by Landon Johnson and Kevin Kaesviharn),2.260,2.120
4,6:32,2,7,CIN 47,7,21,Brett Favre pass complete to Bubba Franks for 14 yards (tackle by Odell Thurman and Landon Johnson),2.120,3.380
4,6:01,1,10,CIN 33,7,21,Tony Fisher right guard for 1 yard (tackle by John Thornton),3.380,2.970
4,5:25,2,9,CIN 32,7,21,Brett Favre pass incomplete intended for Antonio Chatman (defended by Tory James),2.970,2.280
4,5:21,3,9,CIN 32,7,21,Brett Favre pass complete to Donald Driver for 16 yards (tackle by Deltha O'Neal),2.280,4.510
4,4:43,1,10,CIN 16,7,21,Brett Favre pass incomplete intended for Bubba Franks,4.510,3.900
4,4:36,2,10,CIN 16,7,21,Brett Favre pass complete to Bubba Franks for 4 yards (tackle by Deltha O'Neal),3.900,3.730
4,3:55,3,6,CIN 12,7,21,Brett Favre pass complete to Antonio Chatman for 11 yards (tackle by Kevin Kaesviharn),3.730,6.970
4,3:18,1,1,CIN 1,13,21,"Brett Favre pass complete to Bubba Franks for 1 yard, touchdown",6.970,7.000
4,,,,CIN 2,14,21,Ryan Longwell kicks extra point good,0.000,0.000
4,,,,GNB 30,14,21,"Ryan Longwell kicks off 64 yards, returned by Deltha O'Neal for 14 yards (tackle by Brady Poppinga)",0.000,0.280
4,3:05,1,10,CIN 20,14,21,Rudi Johnson right guard for no gain (tackle by Nick Barnett),0.280,-0.270
4,2:52,,,,14,21,Timeout #1 by Green Bay Packers,0.000,-0.270
4,2:52,2,10,CIN 20,14,21,Chris Perry left end for 17 yards (tackle by Nick Barnett),-0.270,1.400
4,2:41,,,,14,21,Timeout #2 by Green Bay Packers,0.000,1.400
4,2:41,1,10,CIN 37,14,21,Rudi Johnson right guard for no gain (tackle by Grady Jackson),1.400,0.860
4,2:00,2,10,CIN 37,14,21,Carson Palmer pass complete to Chris Perry for 1 yard (tackle by Nick Barnett),0.860,0.300
4,1:55,,,,14,21,Timeout #3 by Green Bay Packers,0.000,0.300
4,1:55,3,9,CIN 38,14,21,Rudi Johnson left guard for 5 yards (tackle by Aaron Kampman),0.300,-0.520
4,1:10,,,,14,21,Timeout #1 by Cincinnati Bengals,0.000,-0.520
4,1:10,4,4,CIN 43,14,21,Kyle Larson punts 47 yards,-0.520,0.380
4,0:56,1,10,GNB 10,14,21,"Penalty on Chad Clifton: False Start, 5 yards (no play)",-0.380,-0.570
4,0:56,1,15,GNB 5,14,21,"Brett Favre pass incomplete intended for Andrae Thurman. Penalty on Ifeanyi Ohalete: Defensive Pass Interfere, 48 yards (no play)",-0.570,2.460
4,0:48,1,10,CIN 47,14,21,Brett Favre pass complete to Antonio Chatman for 19 yards (tackle by Ifeanyi Ohalete),2.460,3.710
4,0:23,1,10,CIN 28,14,21,Brett Favre sacked by Duane Clemons for -2 yards,3.710,2.900
4,0:05,2,12,CIN 30,14,21,Brett Favre pass complete to Bubba Franks for no gain (tackle by Odell Thurman). Penalty on Brett Favre: Illegal Forward Pass,2.900,2.210
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
