Unnamed: 0,STL,SFO
First Downs,22,19
Rush-Yds-TDs,23-126-0,36-135-3
Cmp-Att-Yd-TD-INT,34-53-295-1-2,15-21-213-2-0
Sacked-Yards,4-15,2-14
Net Pass Yards,280,199
Total Yards,406,334
Fumbles-Lost,2-1,2-2
Turnovers,3,2
Penalties-Yards,6-52,7-33
Third Down Conv.,5-15,5-11
Fourth Down Conv.,0-1,0-0
Time of Possession,31:44,28:16
