Quarter,Time,Down,ToGo,Location,HOU,NYG,Detail,EPB,EPA
2,9:50,1,10,NYG 39,0,7,Wali Lundy left tackle for no gain (tackle by Barry Cofield),2.980,2.440
2,9:14,2,10,NYG 39,0,7,David Carr middle for 9 yards (tackle by Carlos Emmons),2.440,2.940
2,8:37,3,1,NYG 30,0,7,David Carr pass complete short right to Andre Johnson for 6 yards (tackle by Kevin Dockery),2.940,3.970
2,8:06,1,10,NYG 24,0,7,David Carr pass incomplete short middle intended for Owen Daniels (defended by Will Demps),3.970,3.430
2,7:59,2,10,NYG 24,0,7,Wali Lundy right tackle for 1 yard (tackle by Mathias Kiwanuka and Fred Robbins),3.430,2.870
2,7:23,3,9,NYG 23,0,7,David Carr pass incomplete short right intended for Eric Moulds,2.870,1.930
2,7:16,4,9,NYG 23,3,7,Kris Brown 41 yard field goal good,1.930,3.000
2,,,,HOU 30,3,7,"Kris Brown kicks off 57 yards, returned by Chad Morton for 16 yards (tackle by Guss Scott)",0.000,0.870
2,7:04,1,10,NYG 29,3,7,Eli Manning pass complete short left to Tim Carter for 15 yards (tackle by Demarcus Faggins),0.870,1.860
2,6:39,1,10,NYG 44,3,7,Tiki Barber left guard for 9 yards (tackle by Morlon Greenwood),1.860,2.530
2,6:09,2,1,HOU 47,3,7,Tiki Barber left end for 9 yards (tackle by Demarcus Faggins and C.C. Brown),2.530,3.050
2,5:31,1,10,HOU 38,3,7,Tiki Barber right end for 13 yards (tackle by Glenn Earl),3.050,3.910
2,4:40,1,10,HOU 25,3,7,Eli Manning pass incomplete deep right intended for Jeremy Shockey (defended by Glenn Earl),3.910,3.360
,,,,,,,"NYG challenged the ruling, and the play was upheld.",,
2,4:30,2,10,HOU 25,3,7,Eli Manning pass complete short middle to Jeremy Shockey for 11 yards (tackle by N.D. Kalu and Guss Scott),3.360,4.650
2,3:53,1,10,HOU 14,3,7,"Eli Manning pass complete short right to Tim Carter for 5 yards (tackle by Dunta Robinson). Penalty on Glenn Earl: Defensive Offside, 5 yards (no play)",4.650,5.800
2,3:31,1,5,HOU 9,3,7,"Tiki Barber left end for 7 yards (tackle by DeMeco Ryans). Penalty on Rich Seubert: Offensive Holding, 10 yards (no play)",5.800,4.260
2,3:05,1,15,HOU 19,3,7,Eli Manning sacked by Mario Williams for -6 yards,4.260,2.610
2,2:33,2,21,HOU 25,3,7,Eli Manning sacked by DeMeco Ryans for -10 yards,2.610,0.630
2,2:00,3,31,HOU 35,3,7,Eli Manning pass incomplete,0.630,0.970
2,1:54,,,,3,7,Timeout #1 by Houston Texans,0.000,0.970
2,1:54,4,31,HOU 35,3,7,"Jeff Feagles punts 35 yards, touchback",0.970,-0.280
2,1:46,1,10,HOU 20,3,7,Wali Lundy middle for 2 yards (tackle by Gibril Wilson),0.280,0.000
2,1:04,,,,3,7,Timeout #2 by Houston Texans,0.000,0.000
2,1:04,2,8,HOU 22,3,7,David Carr pass complete short left to Andre Johnson for 3 yards (tackle by Kevin Dockery),0.000,-0.300
2,0:20,3,5,HOU 25,3,7,Wali Lundy right guard for 2 yards (tackle by Mathias Kiwanuka and Gibril Wilson),-0.300,-1.570
2,0:16,,,,3,7,Timeout #3 by New York Giants,0.000,-1.570
2,0:16,4,3,HOU 27,3,7,"Chad Stanley punts 38 yards, returned by Chad Morton for no gain",-1.570,-1.270
2,0:08,1,10,NYG 35,3,7,Eli Manning pass incomplete deep right intended for Amani Toomer is intercepted by Glenn Earl at HOU-42 and returned for 2 yards,1.270,0.000
Quarter,Time,Down,ToGo,Location,HOU,NYG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 30,3,7,"Kris Brown kicks off 70 yards, returned by Chad Morton for 23 yards (tackle by Jason Simmons)",0.000,0.480
3,14:55,1,10,NYG 23,3,7,Tiki Barber right end for 3 yards (tackle by Dunta Robinson),0.480,0.340
3,14:10,2,7,NYG 26,3,7,Tiki Barber right guard for 2 yards (tackle by Anthony Maddox),0.340,-0.100
3,13:31,3,5,NYG 28,3,7,"Eli Manning pass incomplete. Penalty on Mario Williams: Roughing the Passer, 15 yards (no play)",-0.100,1.800
3,13:17,1,10,NYG 43,3,7,Tiki Barber left end for 12 yards (tackle by Jason Simmons),1.800,2.590
3,12:47,1,10,HOU 45,3,7,Eli Manning pass incomplete short left intended for Tim Carter,2.590,2.040
3,12:37,2,10,HOU 45,3,7,Brandon Jacobs left end for 9 yards (tackle by Demarcus Faggins),2.040,2.540
3,11:59,3,1,HOU 36,3,7,"Brandon Jacobs right guard for 8 yards (tackle by Mario Williams and C.C. Brown). Penalty on Bob Whitfield: Illegal Formation, 5 yards (no play)",2.540,1.880
3,11:41,3,6,HOU 41,3,7,Eli Manning pass complete short left to Tiki Barber for 20 yards (tackle by C.C. Brown),1.880,4.170
3,11:09,1,10,HOU 21,3,7,Brandon Jacobs right tackle for 3 yards (tackle by DeMeco Ryans and Jason Babin),4.170,4.040
3,10:25,2,7,HOU 18,3,7,Eli Manning pass incomplete short left intended for Amani Toomer,4.040,3.310
3,10:18,,,,3,7,Timeout #1 by New York Giants,0.000,3.310
3,10:18,3,7,HOU 18,3,7,Brandon Jacobs middle for -2 yards (tackle by Jason Babin and Anthony Weaver),3.310,2.120
3,9:37,4,9,HOU 20,3,7,Jeff Feagles pass incomplete short left intended for Jay Feely (defended by C.C. Brown),2.120,-0.280
,,,,,,,"HOU challenged the ruling, and the play was upheld.",,
3,9:26,1,10,HOU 20,3,7,David Carr pass complete short left to Eric Moulds for 11 yards (tackle by R.W. McQuarters and Gibril Wilson),0.280,1.000
3,8:51,1,10,HOU 31,3,7,Wali Lundy left tackle for 2 yards (tackle by Fred Robbins and Barry Cofield),1.000,0.730
3,8:18,2,8,HOU 33,3,7,David Carr middle for 3 yards (tackle by Carlos Emmons),0.730,0.430
3,7:43,3,5,HOU 36,3,7,David Carr pass complete short middle to Andre Johnson for 10 yards (tackle by Kevin Dockery),0.430,1.990
3,7:03,1,10,HOU 46,3,7,Wali Lundy left tackle for 3 yards (tackle by Adrian Awasom),1.990,1.860
3,6:29,2,7,HOU 49,3,7,David Carr pass complete short left to Ron Dayne for 5 yards (tackle by Barry Cofield),1.860,1.820
3,5:47,3,2,NYG 46,3,7,David Carr pass complete short right to Owen Daniels for 10 yards (tackle by Corey Webster and Gibril Wilson),1.820,3.180
3,5:27,1,10,NYG 36,3,7,Wali Lundy left end for 4 yards (tackle by Mathias Kiwanuka and Gerris Wilkinson),3.180,3.180
3,4:53,2,6,NYG 32,3,7,David Carr pass incomplete short middle intended for Jameel Cook (defended by Antonio Pierce),3.180,2.480
3,4:44,3,6,NYG 32,3,7,David Carr left end for 5 yards (tackle by R.W. McQuarters),2.480,1.820
3,4:20,4,1,NYG 27,3,7,Wali Lundy right tackle for 3 yards (tackle by Gibril Wilson),1.820,3.970
3,3:45,1,10,NYG 24,3,7,David Carr pass complete short left to Wali Lundy for 1 yard (tackle by Carlos Emmons and Gibril Wilson),3.970,3.570
3,3:03,2,9,NYG 23,3,7,David Carr pass complete short left to Andre Johnson for 11 yards (tackle by Carlos Emmons and Will Demps),3.570,4.780
3,2:31,1,10,NYG 12,3,7,David Carr pass incomplete short right intended for Edell Shepherd,4.780,4.100
3,2:22,2,10,NYG 12,3,7,David Carr pass incomplete short middle intended for Andre Johnson (defended by Gibril Wilson),4.100,3.120
3,2:17,3,10,NYG 12,3,7,"David Carr pass complete short middle to Andre Johnson for 7 yards (tackle by Antonio Pierce and Kevin Dockery). Penalty on James Butler: Unnecessary Roughness, 3 yards",3.120,6.740
3,2:04,1,2,NYG 2,3,7,Wali Lundy middle for no gain (tackle by Gibril Wilson),6.740,5.720
3,1:26,2,2,NYG 2,9,7,"David Carr middle for 2 yards, touchdown. Penalty on David Carr: Unsportsmanlike Conduct, 15 yards",5.720,7.000
3,,,,NYG 2,10,7,Kris Brown kicks extra point good,0.000,0.000
3,,,,HOU 15,10,7,"Kris Brown kicks off 65 yards, returned by Chad Morton for 26 yards (tackle by Troy Evans). Penalty on David Tyree: Offensive Holding, 10 yards",0.000,1.070
3,1:06,1,10,NYG 32,10,7,Michael Jennings right end for -9 yards (tackle by Dunta Robinson),1.070,-0.690
3,0:28,2,19,NYG 23,10,7,Eli Manning pass incomplete short middle intended for Jeremy Shockey,-0.690,-1.350
3,0:18,3,19,NYG 23,10,7,Eli Manning pass incomplete short middle intended for Michael Jennings,-1.350,-1.830
3,0:11,4,19,NYG 23,10,7,"Jeff Feagles punts 36 yards, returned by Dexter Wynn for 10 yards (tackle by Derrick Ward)",-1.830,-2.320
Quarter,Time,Down,ToGo,Location,HOU,NYG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NYG 49,10,7,Wali Lundy right tackle for 1 yard (tackle by Gerris Wilkinson and Barry Cofield),2.320,1.920
4,14:25,2,9,NYG 48,10,7,"David Carr pass complete short middle to Wali Lundy for 5 yards (tackle by Antonio Pierce). Penalty on Zach Wiegert: Offensive Holding, 10 yards (no play)",1.920,0.570
4,14:10,2,19,HOU 42,10,7,David Carr sacked by Mathias Kiwanuka for -6 yards,0.570,-0.890
4,13:35,3,25,HOU 36,10,7,Wali Lundy middle for -1 yards (tackle by Mathias Kiwanuka),-0.890,-1.040
4,12:59,4,26,HOU 35,10,7,Chad Stanley punts 32 yards,-1.040,-1.140
4,12:41,1,10,NYG 33,10,7,Eli Manning pass incomplete short left intended for Michael Jennings,1.140,0.590
4,12:34,2,10,NYG 33,10,7,Eli Manning pass complete short left to Tiki Barber for 13 yards (tackle by DeMeco Ryans),0.590,1.990
4,12:19,1,10,NYG 46,10,7,Tiki Barber middle for 12 yards (tackle by Guss Scott),1.990,2.790
4,11:47,1,10,HOU 42,10,7,Eli Manning pass complete short right to Michael Jennings for 5 yards (tackle by Lewis Sanders and Guss Scott),2.790,2.920
4,11:19,2,5,HOU 37,10,7,Eli Manning pass complete short right to Jeremy Shockey for 14 yards (tackle by DeMeco Ryans),2.920,4.040
4,10:44,1,10,HOU 23,10,7,"Tiki Barber right guard for 2 yards (tackle by DeMeco Ryans). Penalty on Jason Babin: Defensive Offside, 5 yards (no play)",4.040,4.860
4,10:33,1,5,HOU 18,10,7,Eli Manning pass incomplete short left intended for Tim Carter,4.860,4.210
4,10:28,2,5,HOU 18,10,7,Tiki Barber middle for -1 yards (tackle by N.D. Kalu and Morlon Greenwood),4.210,3.340
4,10:02,3,6,HOU 19,10,7,Tiki Barber right tackle for 7 yards (tackle by DeMeco Ryans and Lewis Sanders),3.340,4.780
4,9:25,1,10,HOU 12,10,7,Eli Manning pass complete short middle to Amani Toomer for 10 yards (tackle by Dunta Robinson and Mario Williams),4.780,6.740
4,8:39,1,2,HOU 2,10,7,Brandon Jacobs middle for -1 yards (tackle by DeMeco Ryans and Shantee Orr),6.740,5.530
4,8:01,2,3,HOU 3,10,13,"Eli Manning pass complete short right to Jeremy Shockey for 3 yards, touchdown. Penalty on Shantee Orr: Defensive Holding (Declined)",5.530,7.000
4,,,,HOU 2,10,14,Jay Feely kicks extra point good,0.000,0.000
4,,,,NYG 30,10,14,"Jay Feely kicks off 67 yards, returned by Dexter Wynn for 27 yards (tackle by Brandon Jacobs)",0.000,0.940
4,7:41,1,10,HOU 30,10,14,David Carr pass complete short right to Wali Lundy for 2 yards (tackle by James Butler),0.940,0.660
4,7:08,2,8,HOU 32,10,14,"David Carr pass incomplete deep middle intended for Owen Daniels (defended by Corey Webster). Penalty on Mathias Kiwanuka: Roughing the Passer, 15 yards (no play)",0.660,2.060
4,6:58,1,10,HOU 47,10,14,Wali Lundy right end for 8 yards (tackle by Mathias Kiwanuka),2.060,2.600
4,6:29,2,2,NYG 45,10,14,Wali Lundy left guard for 3 yards (tackle by Barry Cofield and Fred Robbins),2.600,2.790
4,5:59,1,10,NYG 42,10,14,Wali Lundy middle for 4 yards (tackle by Adrian Awasom),2.790,2.780
4,5:23,2,6,NYG 38,10,14,"David Carr pass complete short middle to Jameel Cook for 3 yards (tackle by Gerris Wilkinson). Jameel Cook fumbles (forced by Gerris Wilkinson), recovered by Corey Webster at NYG-33 and returned for 4 yards (tackle by Zach Wiegert)",2.780,-1.400
4,5:11,1,10,NYG 37,10,14,Tiki Barber left end for 4 yards (tackle by Anthony Weaver and DeMeco Ryans),1.400,1.400
4,4:36,2,6,NYG 41,10,14,Eli Manning pass complete short right to Jeremy Shockey for 5 yards (tackle by Jason Simmons),1.400,1.360
4,3:58,3,1,NYG 46,10,14,Brandon Jacobs right tackle for 3 yards (tackle by Anthony Maddox),1.360,2.190
4,3:16,1,10,NYG 49,10,14,Tiki Barber left tackle for 1 yard (tackle by C.C. Brown),2.190,1.780
4,3:03,,,,10,14,Timeout #2 by Houston Texans,0.000,1.780
4,3:03,2,9,NYG 50,10,14,Tiki Barber left end for 5 yards (tackle by Morlon Greenwood and Dunta Robinson),1.780,1.750
4,2:55,,,,10,14,Timeout #3 by Houston Texans,0.000,1.750
4,2:55,3,4,HOU 45,10,14,Eli Manning pass complete short middle to Amani Toomer for 6 yards (tackle by Dunta Robinson),1.750,2.980
4,2:12,1,10,HOU 39,10,14,Tiki Barber left end for 14 yards (tackle by C.C. Brown and Morlon Greenwood),2.980,3.910
4,2:00,1,10,HOU 25,10,14,Eli Manning kneels for -1 yards,3.910,3.230
4,1:19,2,11,HOU 26,10,14,Eli Manning kneels for -1 yards,3.230,2.410
4,0:38,3,12,HOU 27,10,14,Eli Manning kneels for -1 yards,2.410,1.590
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
