Quarter,Time,Tm,Detail,HOU,NYG
1,5:03,Giants,Tiki Barber 16 yard rush (Jay Feely kick),0,7
2,7:11,Texans,Kris Brown 41 yard field goal,3,7
3,1:14,Texans,David Carr 2 yard rush (Kris Brown kick),10,7
4,7:49,Giants,Jeremy Shockey 3 yard pass from Eli Manning (Jay Feely kick),10,14
