Unnamed: 0,HOU,NYG
First Downs,17,23
Rush-Yds-TDs,26-81-1,28-122-1
Cmp-Att-Yd-TD-INT,21-30-176-0-0,17-29-179-1-1
Sacked-Yards,1-6,2-16
Net Pass Yards,170,163
Total Yards,251,285
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,8-65,6-53
Third Down Conv.,6-13,6-11
Fourth Down Conv.,1-1,0-1
Time of Possession,28:55,31:05
