Quarter,Time,Tm,Detail,TAM,CAR
1.0,11:05,Panthers,Mike Minter 29 yard interception return (John Kasay kick),0,7
,1:55,Panthers,John Kasay 48 yard field goal,0,10
2.0,6:05,Buccaneers,Tim Wansley 23 yard interception return (Martin Gramatica kick),7,10
3.0,8:30,Panthers,John Kasay 45 yard field goal,7,13
,3:58,Panthers,Ricky Proehl 66 yard pass from Jake Delhomme (John Kasay kick),7,20
4.0,10:19,Buccaneers,Keyshawn Johnson 23 yard pass from Brad Johnson (Martin Gramatica kick),14,20
,4:44,Buccaneers,Keenan McCardell 36 yard pass from Brad Johnson (Martin Gramatica kick),21,20
,2:41,Buccaneers,Martin Gramatica 39 yard field goal,24,20
,1:06,Panthers,Steve Smith Sr. 5 yard pass from Jake Delhomme (John Kasay kick),24,27
