Unnamed: 0,TAM,CAR
First Downs,18,18
Rush-Yds-TDs,19-89-0,31-78-0
Cmp-Att-Yd-TD-INT,24-43-275-2-1,20-32-277-2-2
Sacked-Yards,3-17,2-14
Net Pass Yards,258,263
Total Yards,347,341
Fumbles-Lost,1-0,2-0
Turnovers,1,2
Penalties-Yards,9-95,7-64
Third Down Conv.,4-15,5-13
Fourth Down Conv.,1-2,0-0
Time of Possession,30:09,29:51
