Quarter,Time,Tm,Detail,HOU,JAX
1.0,1:22,Jaguars,Riley Patterson 26 yard field goal,0,3
2.0,12:24,Texans,Ka'imi Fairbairn 50 yard field goal,3,3
,3:23,Texans,Ka'imi Fairbairn 51 yard field goal,6,3
,0:06,Jaguars,Riley Patterson 45 yard field goal,6,6
4.0,3:11,Texans,Dameon Pierce 1 yard rush (Ka'imi Fairbairn kick),13,6
