Unnamed: 0,DET,CHI
First Downs,15,22
Rush-Yds-TDs,14-46-1,34-89-0
Cmp-Att-Yd-TD-INT,23-30-230-0-0,21-28-294-4-0
Sacked-Yards,6-31,0-0
Net Pass Yards,199,294
Total Yards,245,383
Fumbles-Lost,3-3,2-1
Turnovers,3,1
Penalties-Yards,14-104,6-93
Third Down Conv.,1-9,6-12
Fourth Down Conv.,1-1,0-0
Time of Possession,27:00,33:00
