Quarter,Time,Tm,Detail,ARI,SEA
1.0,4:47,Seahawks,Jaxon Smith-Njigba 28 yard pass from Geno Smith (Jason Myers kick),0,7
,1:57,Cardinals,Matt Prater 44 yard field goal,3,7
2.0,9:11,Cardinals,Joshua Dobbs 25 yard rush (Matt Prater kick),10,7
,4:41,Seahawks,Jake Bobo 18 yard pass from Geno Smith (Jason Myers kick),10,14
3.0,7:37,Seahawks,Jason Myers 21 yard field goal,10,17
4.0,2:17,Seahawks,Jason Myers 48 yard field goal,10,20
