Unnamed: 0,ARI,SEA
First Downs,15,18
Rush-Yds-TDs,25-127-1,32-115-0
Cmp-Att-Yd-TD-INT,20-34-150-0-0,18-24-219-2-1
Sacked-Yards,4-28,2-16
Net Pass Yards,122,203
Total Yards,249,318
Fumbles-Lost,2-0,2-2
Turnovers,0,3
Penalties-Yards,7-59,5-32
Third Down Conv.,5-15,7-13
Fourth Down Conv.,0-3,0-0
Time of Possession,29:28,30:32
