Unnamed: 0,DEN,SDG
First Downs,25,28
Rush-Yds-TDs,10-90-2,42-289-5
Cmp-Att-Yd-TD-INT,33-49-316-1-2,15-20-207-2-0
Sacked-Yards,0-0,2-5
Net Pass Yards,316,202
Total Yards,406,491
Fumbles-Lost,1-0,0-0
Turnovers,2,0
Penalties-Yards,4-79,6-67
Third Down Conv.,3-8,7-11
Fourth Down Conv.,1-3,2-2
Time of Possession,23:53,36:07
