Unnamed: 0,CIN,OAK
First Downs,27,12
Rush-Yds-TDs,39-129-1,20-134-1
Cmp-Att-Yd-TD-INT,25-41-303-1-2,13-28-103-0-0
Sacked-Yards,2-16,0-0
Net Pass Yards,287,103
Total Yards,416,237
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,7-65,6-59
Third Down Conv.,9-18,2-10
Fourth Down Conv.,0-0,0-0
Time of Possession,39:24,20:36
