Quarter,Time,Down,ToGo,Location,LAC,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Harrison Butker kicks off 65 yards, touchback.",,
1,15:00,1,10,LAC 25,0,0,Austin Ekeler left guard for 1 yard (tackle by Anthony Hitchens),,
1,14:25,2,9,LAC 26,0,0,Justin Herbert pass complete short right to Keenan Allen for no gain (tackle by Rashad Fenton),,
1,13:48,3,9,LAC 26,0,0,Justin Herbert pass complete short left to Austin Ekeler for 4 yards (tackle by Mike Hughes and Ben Niemann),,
1,12:59,4,5,LAC 30,0,0,"Ty Long punts 55 yards, returned by Mecole Hardman for no gain (tackle by Matt Overton). Penalty on L'Jarius Sneed: Face Mask (15 Yards), 7 yards (accepted)",,
1,12:47,1,10,KAN 8,0,0,Clyde Edwards-Helaire right guard for 4 yards (tackle by Linval Joseph),,
1,12:14,2,6,KAN 12,0,0,Patrick Mahomes pass complete short right to Tyreek Hill for 7 yards (tackle by Tevaughn Campbell),,
1,11:44,1,10,KAN 19,0,0,Patrick Mahomes pass incomplete short right intended for Travis Kelce,,
1,11:37,2,10,KAN 19,0,0,"Patrick Mahomes scrambles left end for 12 yards (tackle by Uchenna Nwosu). Penalty on Joey Bosa: Defensive Offside, 5 yards (declined)",,
1,11:20,1,10,KAN 31,0,0,Patrick Mahomes pass complete short middle to Mecole Hardman for 15 yards (tackle by Nasir Adderley),,
1,10:50,1,10,KAN 46,0,0,Patrick Mahomes scrambles left end for 10 yards (tackle by Michael Davis),,
1,10:14,1,10,LAC 44,0,0,Patrick Mahomes pass complete short left to Jody Fortson for 5 yards (tackle by Derwin James),,
1,9:40,2,5,LAC 39,0,0,Patrick Mahomes pass complete short left to Blake Bell for 6 yards (tackle by Kyzir White),,
1,9:07,1,10,LAC 33,0,0,Darrel Williams right guard for 4 yards (tackle by Joey Bosa),,
1,8:27,2,6,LAC 29,0,0,Patrick Mahomes pass deep middle intended for Marcus Kemp is intercepted by Asante Samuel at LAC-3 and returned for no gain,,
1,8:16,1,10,LAC 3,0,0,Justin Herbert pass complete short right to Gabe Nabers for 3 yards (tackle by Daniel Sorensen),,
1,7:46,2,7,LAC 6,0,0,Larry Rountree up the middle for 4 yards (tackle by Jarran Reed),,
1,7:16,,,,,,Timeout #1 by Kansas City Chiefs,,
1,7:16,3,3,LAC 10,0,0,Justin Herbert pass complete short left to Austin Ekeler for 8 yards (tackle by Ben Niemann and L'Jarius Sneed),,
1,6:50,1,10,LAC 18,0,0,Justin Herbert pass incomplete short middle intended for Keenan Allen (defended by Anthony Hitchens),,
1,6:46,2,10,LAC 18,0,0,Austin Ekeler right end for -1 yards (tackle by L'Jarius Sneed),,
1,6:08,3,11,LAC 17,0,0,"Justin Herbert scrambles up the middle for 9 yards (tackle by Ben Niemann). Penalty on Corey Linsley: Offensive Holding, 10 yards (declined)",,
1,5:42,4,2,LAC 26,0,0,Ty Long punts 24 yards out of bounds,,
1,5:36,1,10,KAN 50,0,0,"Patrick Mahomes pass incomplete short right. Penalty on Michael Davis: Illegal Contact, 5 yards (declined) . Penalty on Kyzir White: Defensive Holding, 5 yards (accepted) (no play)",,
1,5:31,1,10,LAC 45,0,0,Tyreek Hill right end for 11 yards (tackle by Nasir Adderley),,
1,4:58,1,10,LAC 34,0,0,Patrick Mahomes pass complete short right to Darrel Williams for 6 yards (tackle by Kenneth Murray),,
1,4:16,2,4,LAC 28,0,0,Clyde Edwards-Helaire right guard for 7 yards (tackle by Nasir Adderley and Derwin James),,
1,3:40,1,10,LAC 21,0,0,Patrick Mahomes sacked by Kyzir White for -1 yards,,
1,2:58,2,11,LAC 22,0,0,"Patrick Mahomes pass complete to Tyreek Hill for 8 yards. Tyreek Hill fumbles (forced by Tevaughn Campbell), recovered by Michael Davis at LAC-14 and returned for 22 yards (tackle by Trey Smith). Penalty on Clyde Edwards-Helaire: Offensive Low Block, 15 yards (accepted)",,
1,2:48,1,10,LAC 49,0,0,Justin Herbert pass complete short right to Gabe Nabers for 8 yards (tackle by Nick Bolton),,
1,2:13,2,2,KAN 43,0,0,Larry Rountree right guard for 1 yard (tackle by Derrick Nnadi),,
1,1:36,3,1,KAN 42,0,0,Justin Herbert up the middle for 2 yards (tackle by Derrick Nnadi),,
1,1:02,1,10,KAN 40,0,0,Justin Herbert pass incomplete short right intended for Larry Rountree,,
1,0:57,2,10,KAN 40,0,0,Justin Herbert pass complete short right to Mike Williams for 11 yards (tackle by Nick Bolton),,
1,0:27,1,10,KAN 29,0,0,"Jalen Guyton left end for 3 yards. Jalen Guyton fumbles (forced by Michael Danna), recovered by Jalen Guyton at KC-26 (tackle by Michael Danna)",,
Quarter,Time,Down,ToGo,Location,LAC,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,KAN 26,0,0,Justin Herbert pass complete to Donald Parham for 19 yards (tackle by Tyrann Mathieu),,
2,14:20,1,7,KAN 7,0,0,Austin Ekeler left guard for 3 yards (tackle by Jarran Reed and Rashad Fenton),,
2,14:01,2,4,KAN 4,6,0,"Justin Herbert pass complete to Keenan Allen for 4 yards, touchdown",,
2,13:57,,,KAN 15,6,0,Tristan Vizcaino kicks extra point no good,,
2,13:57,,,LAC 35,6,0,"Tristan Vizcaino kicks off 65 yards, touchback.",,
2,13:57,1,10,KAN 25,6,0,Clyde Edwards-Helaire left guard for 8 yards (tackle by Derwin James),,
2,13:25,2,2,KAN 33,6,0,Clyde Edwards-Helaire left tackle for 7 yards (tackle by Linval Joseph and Christian Covington),,
2,12:55,1,10,KAN 40,6,0,Clyde Edwards-Helaire right guard for 3 yards (tackle by Kyler Fackrell),,
2,12:22,2,7,KAN 43,6,0,Darrel Williams left guard for 4 yards (tackle by Drue Tranquill),,
2,11:45,3,3,KAN 47,6,0,Patrick Mahomes pass complete to Travis Kelce for 17 yards (tackle by Alohi Gilman),,
2,11:06,1,10,LAC 36,6,0,"Clyde Edwards-Helaire for 3 yards. Clyde Edwards-Helaire fumbles (forced by Tevaughn Campbell) (tackle by Nasir Adderley), recovered by Michael Davis at LAC-33 and returned for 14 yards (tackle by Mecole Hardman)",,
2,10:55,1,10,LAC 47,6,0,Austin Ekeler left guard for 5 yards (tackle by Alex Okafor),,
2,10:17,2,5,KAN 48,6,0,Justin Herbert pass complete short left to Mike Williams for 20 yards (tackle by Tyrann Mathieu),,
2,9:37,1,10,KAN 28,6,0,Justin Herbert pass complete short right to Mike Williams for 8 yards (tackle by Rashad Fenton),,
2,9:00,2,2,KAN 20,6,0,Justin Herbert pass complete short left to Keenan Allen for 6 yards (tackle by L'Jarius Sneed),,
2,8:21,1,10,KAN 14,6,0,Larry Rountree left end for -2 yards (tackle by Anthony Hitchens),,
2,7:42,2,12,KAN 16,12,0,"Justin Herbert pass complete short left to Austin Ekeler for 16 yards, touchdown",,
2,7:36,,,KAN 2,14,0,Two Point Attempt: Justin Herbert pass complete to to Mike Williams for no gain,,
2,7:36,,,LAC 35,14,0,"Tristan Vizcaino kicks off 65 yards, touchback.",,
2,7:36,1,10,KAN 25,14,0,Clyde Edwards-Helaire left guard for 5 yards (tackle by Jerry Tillery and Kyzir White),,
2,7:06,2,5,KAN 30,14,0,Patrick Mahomes pass complete short right to Clyde Edwards-Helaire for -1 yards (tackle by Drue Tranquill),,
2,6:25,3,7,KAN 29,14,0,Patrick Mahomes sacked by and Drue Tranquill for -8 yards and Joey Bosa for -8 yards,,
2,5:44,4,14,KAN 21,14,0,"Tommy Townsend punts 51 yards, returned by K.J. Hill for no gain",,
