Unnamed: 0,LAC,KAN
First Downs,21,33
Rush-Yds-TDs,22-77-0,30-186-0
Cmp-Att-Yd-TD-INT,26-38-281-4-0,27-44-260-3-2
Sacked-Yards,1-6,2-9
Net Pass Yards,275,251
Total Yards,352,437
Fumbles-Lost,1-0,2-2
Turnovers,0,4
Penalties-Yards,8-50,6-56
Third Down Conv.,4-11,6-10
Fourth Down Conv.,1-1,0-0
Time of Possession,27:29,32:31
