Quarter,Time,Tm,Detail,LAC,KAN
2.0,13:57,Chargers,Keenan Allen 4 yard pass from Justin Herbert (Tristan Vizcaino kick failed),6,0
,7:36,Chargers,Austin Ekeler 16 yard pass from Justin Herbert (Mike Williams pass from Justin Herbert),14,0
,0:19,Chiefs,Harrison Butker 34 yard field goal,14,3
3.0,9:15,Chiefs,Jody Fortson 2 yard pass from Patrick Mahomes (Harrison Butker kick),14,10
,3:35,Chiefs,Clyde Edwards-Helaire 10 yard pass from Patrick Mahomes (Harrison Butker kick),14,17
4.0,13:39,Chargers,Mike Williams 20 yard pass from Justin Herbert (Tristan Vizcaino kick),21,17
,6:43,Chiefs,Mecole Hardman 8 yard pass from Patrick Mahomes (Harrison Butker kick),21,24
,2:14,Chargers,Tristan Vizcaino 24 yard field goal,24,24
,0:32,Chargers,Mike Williams 4 yard pass from Justin Herbert (Tristan Vizcaino kick failed),30,24
