Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Austin Ekeler,LAC,11,55,0,2,34,3.1,21,1.9,0,
Justin Herbert,LAC,4,16,0,1,15,3.8,1,0.3,0,
Larry Rountree,LAC,4,3,0,,2,0.5,1,0.3,0,
Justin Jackson,LAC,2,0,0,,0,0.0,0,0.0,0,
Jalen Guyton,LAC,1,3,0,,2,2.0,1,1.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Clyde Edwards-Helaire,KAN,17,100,0,5,68,4.0,32,1.9,0,
Darrel Williams,KAN,7,28,0,3,22,3.1,6,0.9,0,
Patrick Mahomes,KAN,4,45,0,3,44,11.0,1,0.3,0,
Mecole Hardman,KAN,1,2,0,0,2,2.0,0,0.0,0,
Tyreek Hill,KAN,1,11,0,1,11,11.0,0,0.0,0,
