Quarter,Time,Tm,Detail,NOR,ATL
1.0,10:22,Falcons,T.J. Duckett 1 yard rush (Todd Peterson kick),0,7
,3:05,Saints,John Carney 47 yard field goal,3,7
2.0,11:13,Saints,Antowain Smith 6 yard rush (John Carney kick),10,7
,6:06,Falcons,Michael Vick 2 yard rush (Todd Peterson kick),10,14
,1:49,Falcons,Roddy White 54 yard pass from Michael Vick (Todd Peterson kick),10,21
,0:11,Saints,Az-Zahir Hakim 9 yard pass from Aaron Brooks (John Carney kick),17,21
3.0,7:50,Falcons,Michael Vick 17 yard rush (Todd Peterson kick),17,28
,0:40,Falcons,"Safety,",17,30
4.0,8:33,Falcons,Todd Peterson 43 yard field goal,17,33
,3:01,Falcons,Todd Peterson 20 yard field goal,17,36
