Unnamed: 0,NOR,ATL
First Downs,22,19
Rush-Yds-TDs,24-125-1,32-127-3
Cmp-Att-Yd-TD-INT,27-46-219-1-0,13-25-279-1-1
Sacked-Yards,3-12,0-0
Net Pass Yards,207,279
Total Yards,332,406
Fumbles-Lost,1-1,1-0
Turnovers,1,1
Penalties-Yards,10-107,9-74
Third Down Conv.,3-14,2-11
Fourth Down Conv.,1-1,0-0
Time of Possession,30:42,29:18
