Quarter,Time,Tm,Detail,OAK,KAN
1.0,11:02,Raiders,Sebastian Janikowski 25 yard field goal,3,0
,6:02,Chiefs,Kolby Smith 10 yard rush (Dave Rayner kick),3,7
2.0,10:39,Raiders,Sebastian Janikowski 54 yard field goal,6,7
,5:30,Chiefs,Dave Rayner 30 yard field goal,6,10
3.0,6:04,Raiders,LaMont Jordan 5 yard rush (Sebastian Janikowski kick),13,10
,0:43,Chiefs,Kolby Smith 5 yard rush (Dave Rayner kick),13,17
4.0,9:34,Raiders,Justin Fargas 14 yard rush (Sebastian Janikowski kick),20,17
