Unnamed: 0,OAK,KAN
First Downs,19,18
Rush-Yds-TDs,29-153-2,37-164-2
Cmp-Att-Yd-TD-INT,15-22-170-0-0,12-23-145-0-1
Sacked-Yards,2-11,3-17
Net Pass Yards,159,128
Total Yards,312,292
Fumbles-Lost,1-1,1-0
Turnovers,1,1
Penalties-Yards,7-58,7-48
Third Down Conv.,3-10,3-12
Fourth Down Conv.,0-0,1-2
Time of Possession,27:49,32:11
