Unnamed: 0,MIN,CIN
First Downs,21,26
Rush-Yds-TDs,14-77-1,39-167-1
Cmp-Att-Yd-TD-INT,21-37-236-0-5,27-40-337-3-1
Sacked-Yards,2-9,0-0
Net Pass Yards,227,337
Total Yards,304,504
Fumbles-Lost,2-2,1-0
Turnovers,7,1
Penalties-Yards,7-49,17-115
Third Down Conv.,5-9,8-17
Fourth Down Conv.,0-0,1-1
Time of Possession,21:20,38:40
