Quarter,Time,Tm,Detail,CIN,WAS
1.0,1:38,Washington,Antonio Gibson 1 yard rush (Dustin Hopkins kick),0,7
2.0,7:32,Bengals,A.J. Green 5 yard pass from Joe Burrow (Randy Bullock kick failed),6,7
,1:39,Bengals,Randy Bullock 53 yard field goal,9,7
3.0,8:58,Washington,Steven Sims 3 yard pass from Alex Smith (Dustin Hopkins kick),9,14
,4:47,Washington,Dustin Hopkins 32 yard field goal,9,17
4.0,9:44,Washington,Dustin Hopkins 50 yard field goal,9,20
